preco,quilometragem,ano,infomacoes
24.500,25.200 Km,2019,Nissan Versa 1.0 12v Conforto 4p
46.970,225.000 Km,2011,Ford Fusion 2.5 Sel Aut. 4p
36.999,51.500 Km,2017,Chevrolet Cruze 1.4 Turbo Flex Automático Ltz 2
82.000,91.969 Km,2011,Honda City 1.5 Ex Flex 4p
34.900,40.800 Km,2014,Toyota Camry 3.5 V6 Xle 4p
81.900,310.000 Km,2005,Toyota Corolla 1.8 16v Xei 4p
23.000,195.237 Km,2004,Honda Civic 1.7 Lxl Aut. 4p
20.900,133.000 Km,2013,Toyota Corolla 1.8 16v Gli Flex Aut. 4p
49.990,165.878 Km,2005,Chevrolet Corsa Sedan 1.8 Joy Flex Power 4p
15.990,63.855 Km,2016,Honda City 1.5 Lx 16v
59.500,29.500 Km,2018,Nissan Versa Versa 1.0 12v S (flex)
46.970,200.000 Km,2007,Renault Megane Sedan 1.6 Dynamique 16v
17.890,87.500 Km,2014,Volkswagen Jetta 2.0 Tsi Highline 4p
57.800,25.000 Km,2017,Kia Sportage 2.0 Ex 4x2 Flex Aut. 5p
128.000,54.000 Km,2016,Hyundai Tucson 2.0 Gls 4x2 Flex Aut. 5p
52.990,100.000 Km,2011,Hyundai Ix35 2.0 Gls 2wd Aut. 5p
52.990,102.000 Km,2013,Renault Duster 2.0 16v Dynamique Hi-flex Aut. 5p
42.879,128.000 Km,2014,Mitsubishi Asx 2.0 2wd Cvt 5p
50.900,96.000 Km,2013,Hyundai Tucson 2.0 Gls 4x2 Aut. 5p
39.990,131.000 Km,2016,Jeep Renegade 2.0 Longitude 4x4 Aut. 5p
79.890,80.000 Km,2015,Hyundai Grand Santa Fé 3.3 7l 4wd Aut. 5p
101.900,126.000 Km,2009,Mitsubishi Outlander 3.0 5p
38.900,95.000 Km,2016,Chevrolet Tracker 1.8 Ltz Aut. 5p
64.990,101.637 Km,2011,Peugeot 3008 1.6 Thp Griffe Aut. 5p
38.900,0 Km,2011,Ford Ecosport 2.0 Xlt Flex Aut. 5p
33.800,38.000 Km,2018,Honda Hr-v 1.8 Exl Flex Aut. 5p
91.900,89.000 Km,2012,Hyundai Ix35 2.0 Gls 2wd Aut. 5p
58.900,85.400 Km,2009,Mitsubishi Pajero Tr4 2.0 Flex Aut. 5p
35.770,93.000 Km,2013,Ford Ecosport 1.6 16v Se Flex 5p
42.790,75.000 Km,2015,Mitsubishi Asx Asx 2.0 16v Cvt
59.999,65.000 Km,2015,Hyundai Tucson 2.0 Gls 4x2 Flex Aut. 5p
49.900,77.000 Km,2013,Ford Edge 3.5 Limited Awd 5p
62.990,42.000 Km,2016,Land Rover Evoque 2.0 Si4 Hse Dynamic 5p
198.000,41.217 Km,2017,Hyundai Ix35 2.0 Gl 2wd Flex Aut. 5p
79.900,119.000 Km,2012,Bmw X1 2.0 Sdrive 18i Top 5p
59.990,0 Km,2021,Jeep Compass 2.0 Sport Flex Aut. 5p
109.900,110.000 Km,2012,Land Rover Freelander 2.2 Sd4 Dynamic 5p
69.890,105.000 Km,2011,Jeep Grand Cherokee 3.6 Limited Aut. 5p
58.900,119.000 Km,2012,Land Rover Discovery 3.0 Tdv6 S 7l 5p
