preco,quilometragem,ano,infomacoes
48.900,17.000 Km,2019,Chevrolet Onix 1.0 Mpfi Lt 8v
45.900,87.747 Km,2014,Chevrolet Tracker 1.8 Mpfi Ltz 4x2 16v Flex 4p Automático
35.900,73.000 Km,2015,Chevrolet Onix Onix 1.0 Mpfi Lt 8v Flex 4p Manual
46.900,20.000 Km,2019,Chevrolet Prisma 1.0 Mpfi Joy 8v Flex 4p Manual
44.950,25.000 Km,2019,Chevrolet Onix 1.0 Joy 5p
39.900.000,40.000 Km,2015,Chevrolet Cobalt 1.8 Lt Aut. 4p
47.900,97.343 Km,2014,Chevrolet Tracker 1.8 Freeride 5p
31.990,130.000 Km,2014,Chevrolet Onix 1.0 Lt 8v Flex 4p Manual
42.348,12.343 Km,2019,Chevrolet Prisma 1.4 Mpfi Lt 8v Flex 4p Manual
44.990,38.954 Km,2020,Chevrolet Onix Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual
81.890,31.800 Km,2020,Chevrolet Spin 1.8 Activ 7l Aut. 5p
70.000,80.000 Km,2008,Chevrolet Tracker 2.0 16v 5p
14.980,1 Km,2005,Chevrolet Corsa 1.8 Joy Flex Power 5p
26.490,89.000 Km,2014,Chevrolet Celta 1.0 Lt Flex Power 5p
8.900,230.000 Km,1998,Chevrolet Corsa 1.0 Wind 3p
64.990,0 Km,2021,Chevrolet Montana 1.4 Mpfi Ls Cs 8v Flex 2p Manual
110.990,0 Km,2021,Chevrolet Tracker 1.0 Turbo Flex Ltz Automático
86.790,13.637 Km,2019,Chevrolet Cruze 1.4 Turbo Lt 16v
12.000,140.000 Km,2006,Chevrolet Corsa Classic 1.0 Life 4p Gasolina
47.890,124.000 Km,2014,Chevrolet Cruze Sport 1.8 Lt Ecotec Aut. 5p
52.900,23.000 Km,2017,Chevrolet Onix 1.4 Ltz 5p
17.900,200.000 Km,1998,Chevrolet S10 Chevrolet Blazer Dlx Executive 4x2 4.3 Sfi V6
21.990,130.000 Km,2009,Chevrolet Corsa Sedan 1.4 Premium Econoflex 4p
41.900,75.000 Km,2014,Chevrolet Spin 1.8 Lt 5l Aut. 5p
49.990,35.000 Km,2017,Chevrolet Cobalt 1.4 Mpfi Lt 8v Flex 4p Manual
34.990,198.000 Km,2000,Chevrolet S10 2.2 Std 2p
25.900,123.000 Km,2006,Chevrolet Zafira 2.0 Elegance Flex Power Aut. 5p
60.990,14.980 Km,2019,Chevrolet Onix 1.4 Mpfi Activ 8v Flex 4p Manual
21.990,145.326 Km,2011,Chevrolet Agile 1.4 Mpfi Lt 8v Flex 4p Manual
44.690,154.055 Km,2018,Chevrolet Prisma Prisma Sed. Lt 1.4 8v Flexpower 4p
77.890,73.280 Km,2018,Chevrolet Cruze 1.4 Turbo Lt 16v Flex 4p Automático
18.900,163.000 Km,2010,Chevrolet Celta Celta Hatch Spirit 1.0 Vhc 8v 4p
51.900,60.000 Km,2016,Chevrolet Spin 1.8 Activ 5l Aut. 5p
61.990,0 Km,2021,Chevrolet Onix 1.0 Turbo Flex Ltz Manual
25.899,0 Km,2007,Chevrolet Vectra 2.0 Elegance Flex Power 4p
18.900,135.000 Km,2000,Chevrolet Blazer 4.3 V6 Dlx 5p
24.900,77.000 Km,2011,Chevrolet Corsa 1.4 Maxx Econoflex 5p
27.999,59.900 Km,2014,Chevrolet Classic 1.0 Mpfi Ls 8v Flex 4p Manual - Completo
24.490,118.000 Km,2010,Chevrolet Agile Agile 1.4 Mpfi Lt 8v Flex 4p Manual 2010
25.990,180.000 Km,2008,Chevrolet Vectra 2.0 Elegance 8v Sedan Flex 4p Manual
14.900,219.000 Km,2003,Chevrolet Meriva 1.8 5p
12.700,180.000 Km,2002,Chevrolet Corsa 1.0 Wind Milenium 5p
31.900,161.100 Km,2012,Chevrolet Zafira Zafira Comfort 2.0 (flex)
38.900,65.000 Km,2015,Chevrolet Onix 1.4 Mpfi Lt 8v Flex 4p Manual
41.900,109.000 Km,2013,Chevrolet Spin 1.8 Ltz 7l Aut. 5p
56.890,38.000 Km,2018,Chevrolet Cobalt 1.8 Ltz Aut. 4p
21.900,52.006 Km,2012,Chevrolet Classic 1.0 Mpfi Ls 8v Flex 4p Manual
58.900,48.000 Km,2018,Chevrolet Spin 1.8 Advantage 5l Aut. 5p
131.000,8.000 Km,2019,Chevrolet Equinox 2.0 Lt Turbo Aut. 5p
40.490,0 Km,2020,Chevrolet Onix Chevrolet Onix Lt 1.0 (flex)
44.900,36.000 Km,2019,Chevrolet Onix 1.0 Mpfi Lt 8v Flex 4p Manual
47.870,20.000 Km,2020,Chevrolet Onix Onix Hatch Joy 1.0 8v Flex 5p Mec.
57.900,37.674 Km,2019,Chevrolet Prisma 1.4 Lt 4p
36.490,132.212 Km,2015,Chevrolet Cobalt 1.8 Mpfi Lt 8v Flex 4p Automático
20.990,122.000 Km,2011,Chevrolet Celta Celta Spirit 1.0 Vhce 8v Flexpower 4p Mec.
22.990,142.000 Km,2011,Chevrolet Classic Classic Ls 1.0 4p Flex
62.900,101 Km,2020,Chevrolet Cobalt Cobalt 1.8 Ltz
39.900,132.000 Km,2018,Chevrolet Onix 1.0 Mpfi Lt 8v
27.990,105.000 Km,2009,Chevrolet Astra 2.0 Advantage Flex Power Aut. 5p 121 Hp
18.990,170.000 Km,2003,Chevrolet Zafira 2.0 8v 5p
39.000,92.400 Km,2014,Chevrolet Onix 1.4 Ltz 5p
29.900,145.000 Km,2009,Chevrolet Zafira 2.0 Elite Flex Power Aut. 5p
61.887,58.050 Km,2016,Chevrolet Cruze Cruze 1.8 Ltz 16v Flex 4p Automático
24.350,111.111 Km,2010,Chevrolet Zafira 2.0 Elegance Flex Power Aut. 5p
125.900,61.331 Km,2020,Chevrolet S10 2.8 Ls Cab. Dupla 4x4 4p
31.900,131.203 Km,2011,Chevrolet Vectra 2.0 Mpfi Gt Hatch 8v Flex 4p Manual
64.990,0 Km,2021,Chevrolet Montana 1.4 Mpfi Ls Cs 8v Flex 2p Manual
49.900,32.550 Km,2019,Chevrolet Montana Montana Ls 1.4 Econoflex 8v 2p
22.900,142.000 Km,2009,Chevrolet Astra Astra Hatch Advantage 2.0 (flex)
92.900,36.000 Km,2018,Chevrolet Cruze 1.4 Turbo Sport6 Ltz 16v
52.900,131.000 Km,2011,Chevrolet S-10 S10 Rodeio 2.4 Flexpower 4x2 (cab Dupla)
29.900,64.447 Km,2015,Chevrolet Celta Celta Lt 1.0 (flex)
115.900,60.000 Km,2019,Chevrolet S-10 S10 Pick-up Lt 2.5 Flex 4x4 Cd Aut.
61.990,61.000 Km,2015,Chevrolet Captiva Captiva Sport Fwd 2.4 16v 171/185cv
75.900,69.000 Km,2018,Chevrolet Tracker 1.4 16v Turbo Lt
16.900,160.000 Km,2003,Chevrolet Astra 2.0 8v 5p
22.900,93.491 Km,2009,Chevrolet Corsa 1.4 Premium Econoflex 5p
18.900,113.252 Km,2008,Chevrolet Corsa 1.0 Maxx Flex Power 5p
63.500,0 Km,2020,Chevrolet Montana Ls
135.000,60.000 Km,2011,Chevrolet Camaro 6.2 V8 Ss 2p
39.870,59.000 Km,2018,Chevrolet Onix 1.0 Joy 5p
179.900,39.181 Km,2020,Chevrolet S-10 2.8 Mpfi Ltz 4x4 Cd 16v
16.900,101 Km,2010,Chevrolet Prisma 1.0 Mpfi Vhce Joy 8v Flex 4p Manual
68.900,61.300 Km,2019,Chevrolet Cobalt Cobalt Ltz 1.8 8v (aut) (flex)
24.500,270.000 Km,2010,Chevrolet Montana 1.4 Sport Econoflex 2p
121.890,4.500 Km,2021,Chevrolet Tracker 1.2 Turbo Flex Premier Automático 2020/2021
10.900,200.189 Km,1997,Chevrolet Corsa Super 1.0 Mpfi - 4p
36.899,107.000 Km,2016,Chevrolet Montana 1.4 Ls Econoflex 2p
26.900,95.262 Km,2012,Chevrolet Prisma 1.4 Lt Econoflex 4p
35.900,130.000 Km,2012,Chevrolet Sonic 1.6 Ltz 16v
109.900,0 Km,2021,Chevrolet Tracker 1.0 Turbo Ltz
47.900,55.000 Km,2016,Chevrolet Prisma 1.4 Mpfi Ltz 8v Flex 4p Automático
13.990,100.000 Km,2005,Chevrolet Celta 1.0 Spirit 3p
219.900,0 Km,2021,Chevrolet S-10 S-10 Ltz 2.8 4x4 Aut. 0km
42.890,80.000 Km,2018,Chevrolet Montana 1.4 Mpfi Ls Cs 8v
39.900,98.893 Km,2015,Chevrolet Cobalt 1.8 Mpfi Ltz 8v
22.500,1 Km,2012,Chevrolet Meriva 1.4 Joy Econoflex 5p
36.720,1.000 Km,2015,Chevrolet Cobalt 1.8 Mpfi Ltz 8v Flex 4p Automático
39.990,88.478 Km,2015,Chevrolet Onix Chevrolet Onix 1.4 Mpfi Ltz 8v Flex 4p Manual
69.000,9.000 Km,2020,Chevrolet Onix 1.0 Turbo Plus Ltz
47.970,29.000 Km,2019,Chevrolet Onix 1.0 Lt 5p
49.999,35.000 Km,2020,Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual
84.990,43.976 Km,2018,Chevrolet Cruze 1.4 Turbo Ltz 16v Flex 4p Automático
38.799,75.000 Km,2018,Chevrolet Onix Onix 1.0 Joy Spe/4
14.990,147.000 Km,2005,Chevrolet Celta 1.4 Super 3p
71.800,138.000 Km,2015,Chevrolet S-10 2.5 Lt 4x2 Cd 16v Flex 4p Manual
24.990,360 Km,2012,Chevrolet Prisma 1.4 Lt Econoflex 4p
43.900,1 Km,2015,Chevrolet Prisma 1.4 Ltz 4p
41.900,46.000 Km,2016,Chevrolet Onix 1.4 Lt 5p
25.000,150.650 Km,2006,Chevrolet Vectra 2.4 16v Elite Flex Power Aut. 4p
14.500,137.137 Km,2008,Chevrolet Corsa Classic 1.0 Spirit Flex Power 4p
378.890,3.400 Km,2020,Chevrolet Camaro 6.2 V8 Gasolina Ss Automático
13.900,116.000 Km,2008,Chevrolet Corsa Classic 1.0 Life Flex Power 4p
41.900,52.000 Km,2019,Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual
59.900,45.000 Km,2018,Chevrolet Spin 1.8 Activ 5l Aut. 5p
58.900,37.949 Km,2019,Chevrolet Prisma 1.4 Lt 4p
98.900,122.628 Km,2014,Chevrolet S10 2.8 Lt Cab. Dupla 4x2 Aut. 4p
55.900,73.000 Km,2018,Chevrolet Spin Advantage 1.8 Aut.
109.990,0 Km,2021,Chevrolet Tracker Premier
39.900,126.000 Km,2009,Chevrolet Captiva 3.6 Sport Awd 5p
28.450,160.000 Km,2013,Chevrolet Cobalt 1.4 Lt 4p
20.500,110.000 Km,2009,Chevrolet Prisma Prisma  Sed. Maxx/ Lt 1.4 8v Econof. 4p
35.900,0 Km,2012,Chevrolet Cruze 1.8 Lt 16v Flex 4p Manual
30.900,60.000 Km,2014,Chevrolet Spin 1.8 Advantage 8v Flex 4p Automático
39.900,0 Km,2015,Chevrolet Prisma 1.0 Mpfi Lt 8v Flex 4p Manual
36.500,66.000 Km,2015,Chevrolet Onix 1.0 Lt 5p
25.000,146.000 Km,2009,Chevrolet Vectra 2.0 Elegance Flex Power 4p
54.900,0 Km,2019,Chevrolet Prisma 1.4 Mpfi Lt 8v Flex 4p Automático
68.900,0 Km,2018,Chevrolet Cruze 1.4 Turbo Lt 16v Flex 4p Automático
49.900,141.131 Km,2012,Chevrolet Cruze 1.8 Ltz Sport6 16v Flex 4p Automático
14.990,85.000 Km,2009,Chevrolet Classic 1.0 Mpfi Sedan Life 8v
114.900,64.357 Km,2018,Chevrolet S-10 S10 2.8 Ctdi Ls 4wd (cabine Dupla)
22.900,106.000 Km,2010,Chevrolet Prisma Prisma Maxx
59.900,41.000 Km,2019,Chevrolet Onix 1.4 Mpfi Ltz 8v Flex 4p Automático
38.980,133.000 Km,2014,Chevrolet Spin Spin Lt 1.8 Flex Completo 2014 Troco Financio
76.890,20.000 Km,2019,Chevrolet Spin Chevrolet Spin 1.8 Activ 5l Aut. 5p
125.000,84.000 Km,2010,Chevrolet Camaro 6.2 V8 Ss 2p
119.900,181.000 Km,1999,Chevrolet Silverado 4.2 Dlx Turbo 2p
51.899,114.900 Km,2014,Chevrolet Cruze 1.8 Lt Sport Flex 4p Automático - Couro
27.900,92.325 Km,2012,Chevrolet Meriva Meriva Premium 1.8 (flex) (easytronic)
36.500,107.000 Km,2014,Chevrolet Cobalt 1.8 Ltz Aut. 4p
25.990,98.000 Km,2014,Chevrolet Celta 1.0 Lt Flex Power 5p
189.000,6.000 Km,2020,Chevrolet S-10 2.8 Ltz 4x4 Cd 16v Turbo
65.900,0 Km,2019,Chevrolet Spin 1.8 Lt 8v Flex 4p Automático
155.000,132.000 Km,2018,Chevrolet S10 2.8 Ltz High Country Cab. Dupla 4x4 Aut. 4p
26.900,43.322 Km,2007,Chevrolet Astra 2.0 Advantage Flex Power 5p
94.990,18.000 Km,2019,Chevrolet Cruze 1.4 Ltz Turbo Aut. 4p
35.900,55.000 Km,2014,Chevrolet Onix 1.0 Mpfi Lt 8v Flex 4p Manual
17.490,90.000 Km,2007,Chevrolet Corsa 1.0 Maxx Flex Power 5p
45.990,1 Km,2020,Chevrolet Onix Onix Hatch Joy 1.0 8v Flex 5p Mec.
81.900,63.000 Km,2018,Chevrolet Cruze 1.4 Turbo Ltz 16v
41.964,42.083 Km,2020,Chevrolet Onix 1.0 Flex Lt Manual
37.900,40.000 Km,2018,Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual
101.900,0 Km,2021,Chevrolet Tracker 1.0 Lt Turbo Aut. 5p
54.900,101 Km,2018,Chevrolet Spin 1.8 Ltz 8v Flex 4p Manual
52.900,83.504 Km,2014,Chevrolet Cruze 1.8 Ltz 16v Flex 4p Automático
184.900,37.000 Km,2020,Chevrolet S-10 Ltz 2.8 4x4 Aut.
72.870,0 Km,2020,Chevrolet Onix 1.0 Lt Turbo Aut. 5p
22.900,123.000 Km,2005,Chevrolet Zafira 2.0 Elite Flex Power Aut. 5p
51.500,99.000 Km,2016,Chevrolet Spin Ltz 1.8 Aut 7 Lugares
43.000,106.000 Km,2012,Chevrolet Captiva 2.4 Sport Ecotec 5p
97.890,120.000 Km,2013,Chevrolet S-10 Chevrolet S10 2.8 Lt Cab. Dupla 4x4 Aut. 4p
20.900,120.000 Km,2010,Chevrolet Corsa 1.4 Premium Econoflex 5p
26.900,78.000 Km,2012,Chevrolet Celta 1.0 Ls Flex Power 5p
22.999,99.986 Km,2013,Chevrolet Celta 1.0 Lt Flex Power 5p
43.900,150.000 Km,2011,Chevrolet S-10 2.4 Advantage 4x2 Cd 8v Flex 4p Manual
53.900,45.960 Km,2018,Chevrolet Prisma 1.4 Ltz 4p
36.990,87.800 Km,2015,Chevrolet Prisma 1.0 Lt 4p
22.590,91.800 Km,2012,Chevrolet Agile 1.4 Mpfi Lt 8v Flex 4p Manual
77.900,74.210 Km,2017,Chevrolet Tracker 1.4 Ltz Turbo Aut. 5p
21.890,94.000 Km,2011,Chevrolet Prisma 1.4 Mpfi Maxx 8v Flex 4p Manual
23.990,171.040 Km,2012,Chevrolet Celta Celta 1.0 Lt 8v Flex 4p Manual
116.900,0 Km,2021,Chevrolet Tracker Premier 1.0 Turbo
25.990,96.726 Km,2012,Chevrolet Corsa 1.4 Mpfi Maxx 8v Flex 4p Manual
48.990,35.000 Km,2019,Chevrolet Prisma 1.0 Joy 4p
44.990,37.000 Km,2019,Chevrolet Onix 1.0 Joy 5p
56.899,34.000 Km,2019,Chevrolet Prisma 1.4 Lt 4p
25.900,190.000 Km,2009,Chevrolet Astra 2.0 Advantage Flex Power 5p 133 Hp
31.999,200.000 Km,1998,Chevrolet Blazer 2.5 Dlx Turbo 5p
33.900,57.414 Km,2014,Chevrolet Onix 1.0 Lt 5p
47.000,78.600 Km,2016,Chevrolet Onix 1.4 Ltz Aut. 5p
16.990,294 Km,1996,Chevrolet Omega 2.2 Gls
24.990,145.000 Km,2014,Chevrolet Celta 1.0 Mpfi Advantage 8v Flex 4p Manual
18.000,125.000 Km,2005,Chevrolet Omega 3.6 V6 4p
49.990,93.500 Km,2015,Chevrolet Captiva 2.4 Sport Ecotec 5p
36.900,100 Km,2014,Volkswagen Voyage City
29.990,100.000 Km,2013,Volkswagen Fox 1.0 Trend Tec Total Flex 5p
36.889,83.000 Km,2013,Volkswagen Fox 1.6 Vht Trend Total Flex 5p
55.000,98.884 Km,2012,Volkswagen Kombi Food Truck
26.990,104.000 Km,2008,Volkswagen Crossfox 1.6 Total Flex 5p
59.990,0 Km,2021,Volkswagen Gol Gol (novo) 1.6 Mi Total Flex 8v 4p Automatico
84.990,0 Km,2021,Volkswagen Saveiro Saveiro Cross 1.6 T.flex 16v Cd
35.900,67.000 Km,2014,Volkswagen Voyage 1.6 Vht Trend Total Flex 4p
59.990,0 Km,2021,Volkswagen Voyage Voyage 1.6 Msi Flex 8v 4p
73.990,0 Km,2021,Volkswagen Saveiro Saveiro Robust 1.6 Total Flex 8v Cd
44.500,29.000 Km,2020,Volkswagen Gol 1.0 12v Total Flex 5p
66.900,65.000 Km,2018,Volkswagen Polo 1.0 Tsi Highline 200 Aut. 5p
23.900,180.868 Km,2004,Volkswagen Golf 1.6 Mi Plus 8v Gasolina 4p Manual
110.000,70.249 Km,2009,Volkswagen Eos 2.0 Fsi Lux Conversível 16v Turbo Intercooler Gasolina 2p Tiptronic
92.900,125.000 Km,2013,Volkswagen Amarok 2.0 Highline Cab. Dupla 4x4 4p Automática
97.990,0 Km,2021,Volkswagen T-cross T-cross 1.0 Tsi Flex 12v 5p Aut.
16.900,90.658 Km,2007,Volkswagen Fox Fox Plus 1.0 8v (flex) 2p
19.900,135.000 Km,2009,Volkswagen Fox 1.0 Vht Trend Total Flex 5p
34.999,180.000 Km,2014,Volkswagen Kombi Kombi
127.900,67.000 Km,2019,Volkswagen Amarok 2.0 Se Cab. Dupla 4x4 4p
126.900,92.000 Km,2016,Volkswagen Amarok 2.0 Highline Cab. Dupla 4x4 4p
52.500,45.000 Km,2020,Volkswagen Saveiro 1.6 Robust Cab. Simples Total Flex 2p
48.900,24.444 Km,2019,Volkswagen Up! Up! Move I Motion 1.0 T. Flex 12v 5p
22.900,99.000 Km,2005,Volkswagen Golf 1.8 Mi Sport 20v 150cv Turbo
55.990,54.000 Km,2012,Volkswagen Jetta 2.0 Tsi Highline 4p
92.900,78.000 Km,2014,Volkswagen Golf Golf Gti 2.0 Tsi Dsg
179.900,10.489 Km,2019,Volkswagen Golf Golf 2.0 Tsi Gti 16v Automático
35.990,124.682 Km,2011,Volkswagen Saveiro 1.6 Cross Cab. Estendida Total Flex 2p
9.900,170.000 Km,1999,Volkswagen Gol Gol 1.0 Mi 16v Série Ouro
71.500,58.000 Km,2014,Volkswagen Tiguan 2.0 Tsi 16v Turbo Gasolina 4p Tiptronic
264.999,0 Km,2020,Volkswagen Amarok 3.0 Highline Extreme Cab. Dupla V6 4x4 Aut. 4p
26.900,110.000 Km,2013,Volkswagen Voyage 1.0 Mi 8v Flex 4p Manual
38.900,37.000 Km,2017,Volkswagen Gol Gol 1.0 Mpi Trendline (flex)
61.990,19.000 Km,2020,Volkswagen Polo 1.6 16v Msi 5p
13.900,244.444 Km,2007,Volkswagen Fox 1.0 City Total Flex 3p
28.990,134.000 Km,2012,Volkswagen Kombi Furgão
72.999,39.000 Km,2020,Volkswagen Virtus 1.0 200 Tsi Comfortline Automático
65.990,86.800 Km,2013,Volkswagen Fusca 2.0 Tsi 3p Automática
38.400,122.000 Km,2014,Volkswagen Saveiro 1.6 Cab. Estendida Total Flex 2p
28.900,1 Km,2013,Volkswagen Fox Fox Trendline 1.0 Flex 8v 5p
22.999,108.635 Km,2013,Volkswagen Voyage 1.0 Trend Tec Total Flex 4p
69.870,32.000 Km,2020,Volkswagen Polo Comfort. 200 Tsi 1.0 Flex 12v Aut.
104.990,0 Km,2020,Volkswagen T-cross 1.0 200 Tsi Aut. 5p
38.900,57.000 Km,2015,Volkswagen Fox Fox Trendline 1.6 Msi (flex)
20.900,100.000 Km,1994,Volkswagen Voyage 1.8 Gl 8v
28.890,44.000 Km,1995,Volkswagen Voyage Gl 1.8 Alcool
26.900,230.000 Km,2013,Volkswagen Fox 1.6 Mi 8v Flex 4p Manual
32.900,104.000 Km,2008,Volkswagen New Beetle 2.0 3p Manual
54.900,60.000 Km,2011,Volkswagen Passat Cc Passat Cc 3.6 V6 Fsi Dsg 4motion
19.990,150.000 Km,2008,Volkswagen Fox Fox Plus 1.0 8v (flex)
28.990,84.000 Km,2013,Volkswagen Fox 1.0 Trend Tec Total Flex 5p
136.990,46.500 Km,2018,Volkswagen Amarok 2.0 Trendline 4x4 Cd 16v Turbo Intercooler
50.000,48.000 Km,2009,Volkswagen Kombi 1.4 Standard Total Flex 3p
23.909,168.110 Km,2009,Volkswagen Crossfox 1.6 Vht Total Flex 5p
25.000,320.600 Km,2009,Volkswagen Kombi 1.4 Lotação Total Flex 3p
19.900,161.000 Km,2001,Volkswagen Santana 1.8 4p Gasolina
23.890,171.000 Km,2010,Volkswagen Polo 1.6 Vht Total Flex 5p
54.990,58.654 Km,2011,Volkswagen Tiguan 2.0 Tsi 16v Turbo
24.800,125.000 Km,2009,Volkswagen Polo 1.6 Vht Total Flex 5p
126.990,0 Km,2021,Volkswagen T-cross T-cross Highline 1.4 Tsi Flex 16v 5p Aut
21.900,140.000 Km,2013,Volkswagen Gol Gol 1.0
23.700,105.000 Km,2014,Volkswagen Gol 1.0 Tec Total Flex 5p
22.900,148.096 Km,2007,Volkswagen Polo Polo Hatch. 1.6 8v (flex)
29.700,89.000 Km,1999,Volkswagen Kombi 1.6 Std 3p Gasolina
64.990,87.500 Km,2014,Volkswagen Jetta 2.0 Tsi Highline 4p
50.900,110.000 Km,2015,Volkswagen Jetta 2.0 Trendline Flex 4p Tiptronic
38.900,43.000 Km,2014,Volkswagen Polo Polo Hatch 1.6 Vht Total Flex
9.980,32.147 Km,1992,Volkswagen Gol Gol Cl 1.6
52.900,38.000 Km,2020,Volkswagen Saveiro 1.6 Robust Cab. Simples Total Flex 2p
38.900,77.258 Km,2015,Volkswagen Fox 1.6 16v Msi Highline Total Flex I-motion 5p
44.990,158.000 Km,2012,Volkswagen Jetta 2.0 Comfortline Flex 4p Automática
16.000,325.000 Km,2006,Volkswagen Kombi 1.4 Standard Total Flex 3p
20.900,187.000 Km,2007,Volkswagen Spacefox 1.6 Comfortline Total Flex 5p (br)
54.990,32.000 Km,2020,Volkswagen Voyage 1.6 Msi Total Flex 4p
85.000,140.000 Km,2013,Volkswagen Amarok 2.0 Highline Cab. Dupla 4x4 4p Automática
54.900,49.000 Km,2014,Volkswagen Kombi 1.4 Standard Total Flex 3p
82.490,2.353 Km,2020,Volkswagen Virtus 1.0 200 Tsi Highline Automático
74.990,7.819 Km,2020,Volkswagen Virtus Virtus Comfort. 200 Tsi 1.0 Flex 12v Aut
38.000,68.000 Km,2018,Volkswagen Saveiro 1.6 Msi Robust Cs 8v Flex 2p Manual
29.500,95.000 Km,2015,Volkswagen Up! 1.0 Move 5p
39.900,91.000 Km,2011,Volkswagen Jetta 2.0 Tsi Highline 200cv Gasolina 4p Tiptronic
57.980,31.000 Km,2020,Volkswagen Saveiro 1.6 Trendline Cab. Simples Total Flex 2p
17.900,100.000 Km,1999,Volkswagen Kombi 1.6 3p Gasolina
29.900,76.000 Km,2000,Volkswagen New Beetle 2.0 3p
28.900,67.000 Km,2016,Volkswagen Up! Up! 1.0 12v E-flex Take Up! 2p
24.900,91.000 Km,2012,Volkswagen Fox 1.0 Vht Trend Total Flex 5p
119.000,17.000 Km,2019,Volkswagen Jetta 1.4 250 Tsi R-line
53.900,95.000 Km,2012,Volkswagen Jetta 2.0 Tsi Highline 200cv
32.900,95.000 Km,2016,Volkswagen Gol 1.0 12v Comfortline Total Flex 5p
82.999,77.000 Km,2013,Volkswagen Fusca 2.0 Tsi 8v Gasolina 2p Automático
29.900,100 Km,2013,Volkswagen Fox 1.6 Vht Trend Total Flex 5p
23.900,25.000 Km,2008,Volkswagen Gol 1.0 City Total Flex 5p
99.900,47.703 Km,2015,Volkswagen Golf 2.0 Tsi Gti 16v Turbo
74.870,89.217 Km,2015,Volkswagen Jetta Jetta Highline 2.0 Tsi 16v 4p Tiptronic
34.990,67.000 Km,2017,Volkswagen Up! Up! 1.0 12v E-flex Take Up! 4p
79.900,147.000 Km,2014,Volkswagen Amarok 2.0 S 4x4 Cd 16v Turbo Intercooler
71.900,44.000 Km,2018,Volkswagen Saveiro 1.6 16v Cross Cab. Dupla Total Flex 2p
185.900,17.000 Km,2020,Volkswagen Amarok 2.0 Comfortline Cab. Dupla 4x4 Aut. 4p
62.990,114.000 Km,2013,Volkswagen Tiguan Tiguan 2.0 Tsi 4wd
22.890,81.265 Km,2010,Volkswagen Parati 1.6 Total Flex 5p
30.900,53.000 Km,2013,Volkswagen Fox 1.0 Trend Tec Total Flex 5p
49.000,110.000 Km,2011,Volkswagen Tiguan 2.0 Tsi 16v Turbo
65.900,107.000 Km,2014,Volkswagen Jetta 2.0 Tsi Highline 4p
34.700,110.000 Km,2014,Volkswagen Fox 1.6 Mi Rock In Rio 8v
78.990,80.000 Km,2013,Volkswagen Fusca 2.0 Tsi 3p Automática
35.990,101.000 Km,2010,Volkswagen New Beetle 2.0 3p Automática
23.890,99.000 Km,2010,Volkswagen Fox 1.0 Vht Total Flex 5p
46.990,36.598 Km,2020,Volkswagen Gol Volkswagen Gol 1.6 L Mb5 Flex
75.990,7.819 Km,2020,Volkswagen Virtus 1.0 200 Tsi Comfortline Automático
66.990,136.000 Km,2015,Volkswagen Jetta 2.0 Tsi Highline
28.890,56.000 Km,2010,Volkswagen Spacefox 1.6 Mi Route 8v Flex 4p Manual
65.900,43.140 Km,2019,Volkswagen Polo Polo Comfort. 200 Tsi 1.0 Flex 12v Aut.
46.990,60.000 Km,2018,Volkswagen Up! 1.0 Tsi Move 5p
18.500,173.000 Km,2001,Volkswagen Saveiro 1.8 2p
65.900,74.000 Km,2013,Volkswagen Tiguan 2.0 Tsi 16v Turbo Gasolina 4p Tiptronic
26.900,118.000 Km,2009,Volkswagen Fox Fox Extreme 1.6 8v (flex)
39.990,50.000 Km,2017,Volkswagen Fox 1.6 Comfortline Total Flex 5p
82.977,0 Km,2021,Volkswagen Nivus 1.0 Highline 200 Tsi Aut. 5p
28.500,104.302 Km,2013,Volkswagen Saveiro 1.6 Cab. Simples Total Flex 2p
24.000,295.000 Km,2009,Volkswagen Kombi 1.4 Total Flex 3p
51.890,109.605 Km,2012,Volkswagen Passat Passat Tb 2.0 Fsi/tsi 211cv Tiptronic 4p
59.890,30.000 Km,2020,Volkswagen Polo 1.6 16v Msi 5p
48.900,68.000 Km,2018,Volkswagen Up! 1.0 Tsi Cross Up
22.990,93.000 Km,2011,Volkswagen Gol 1.0 Vht Trend Total Flex 5p
52.990,78.565 Km,2012,Volkswagen Tiguan 2.0 Tsi 16v Turbo Gasolina 4p Tiptronic
55.990,34.000 Km,2019,Volkswagen Polo 1.6 16v Msi 5p
44.900,101.000 Km,2012,Volkswagen Kombi 1.4 Standard Total Flex 3p
53.250,53.250 Km,2013,Volkswagen Kombi 1.4 Standard Total Flex 3p
27.000,176.000 Km,2015,Volkswagen Gol 1.0 Trendline Total Flex 5p
35.120,1.000 Km,2016,Volkswagen Fox 1.0 Mpi Comfortline 12v Flex 4p Manual
29.900,140.000 Km,2013,Volkswagen Fox 1.6 Mi Prime 8v Flex 4p Automatizado
107.990,0 Km,2021,Volkswagen T-cross 200 Tsi 1.0
18.900,70.000 Km,2011,Volkswagen Gol 1.0 Trend Total Flex 5p
25.900,140.000 Km,2010,Volkswagen Voyage Voyage 1.6 Mi Comfortline 8v Flex 4p Manual
