preco,quilometragem,ano,infomacoes
16.000,180.000 Km,2008,Citroën C4 Pallas 2.0 Glx Aut. 4p
41.990,70.000 Km,2014,Citroën C4 C4 Lounge Tendance 2.0i (aut)
55.000,500.000 Km,2007,Citroën Jumper 2.8 Passageiro M33m 16l
70.000,230.352 Km,2012,Citroën Jumper Jumper 2.3 Passageiro M33m 23s 16l
34.900,57.900 Km,2017,Citroën C3 1.2 Origine Ptech Flex 5p
26.990,111.000 Km,2010,Citroën C4 Picasso Glx 2.0 16v
23.900,146.000 Km,2012,Citroën C4 1.6 Glx Flex 5p
27.920,1.000 Km,2013,Citroën C4 2.0 Glx 16v Flex 4p Automático
68.990,64.059 Km,2016,Citroën Ds3 1.6 Thp Sport Chic 16v Gasolina 2p Manual
28.990,93.000 Km,2013,Citroën C3 Picasso 1.6 16v Glx Flex Aut. 5p
35.900,65.000 Km,2016,Citroën C3 1.5 Tendance Flex 5p
18.900,195.226 Km,2010,Citroën C4 1.6 Glx 16v Flex 4p Manual
26.877,72.000 Km,2011,Citroën C3 1.6 16v Exclusive Solaris Flex Aut. 5p
31.900,78.000 Km,2013,Citroën Aircross 1.6 Glx 16v Flex 4p Manual
124.890,19.000 Km,2019,Citroën Jumpy 1.6 Pack Td Blue Hdi 5p
30.870,72.200 Km,2012,Citroën C3 Picasso 1.6 16v Exclusive Flex Aut. 5p
117.000,60.000 Km,2020,Citroën Jumpy 1.6 Pack Td Blue Hdi 5p
18.900,186.000 Km,2009,Citroën C3 1.4 I Glx 8v Flex 4p Manual
23.890,117.000 Km,2010,Citroën C4 Pallas 2.0 Glx Flex Aut. 4p
35.000,54.000 Km,2013,Citroën C3 1.6 Vti 16v Exclusive Flex Aut. 5p
38.500,47.000 Km,2017,Citroën C3 1.2 Tendance Ptech Flex 5p
18.990,99.000 Km,2010,Citroën C3 1.4 8v X-tr Flex 5p
16.890,97.000 Km,2006,Citroën Xsara Picasso 1.6 Glx 5p
36.990,49.000 Km,2016,Citroën C3 1.5 Attraction Flex 5p
16.900,190.000 Km,2007,Citroën C3 1.6 16v X-tr Flex 5p
15.990,110.000 Km,2008,Citroën Xsara Picasso 1.6 Glx Flex 5p
34.900,75.668 Km,2014,Citroën C3 Picasso 1.6 16v Exclusive Flex Aut. 5p
40.000,282.800 Km,2008,Citroën Jumper 2.8 Hdi 16l 5p
79.990,15.000 Km,2019,Citroën C4 Lounge 1.6 Shine Thp Flex Aut. 4p
43.500,125.000 Km,2016,Citroën C4 Lounge 2.0 Tendance Flex Aut. 4p
34.900,49.800 Km,2014,Citroën C3 1.6 Exclusive 16v Flex 4p Automático
163.900,0 Km,2021,Citroën Jumpy Passageiro
22.900,95.367 Km,2012,Citroën C3 C3 Glx 1.4 8v (flex)
19.900,167.000 Km,2011,Citroën C3 1.4 8v Glx Flex 5p
23.900,116.000 Km,2012,Citroën C4 1.6 Glx 16v
28.490,130.595 Km,2011,Citroën Aircross 1.6 Exclusive 16v Flex 4p Manual
21.900,0 Km,2010,Citroën C3 1.4 I Glx 8v Flex 4p Manual
34.990,50.000 Km,2016,Citroën C3 1.5 Tendance Flex 5p
129.990,0 Km,2020,Citroën Jumpy 1.6 Pack Td Blue Hdi 5p
19.900,126 Km,2011,Citroën Xsara Picasso Xsara Picasso Glx 1.6 16v (flex)
28.890,113.000 Km,2013,Citroën C3 1.5 Tendance 8v
49.900,58.000 Km,2016,Citroën Aircross 1.6 16v Shine Flex Aut. 5p
73.980,8.298 Km,2020,Citroën C4 Cactus 1.6 Feel 16v 5p
27.990,100.000 Km,2012,Citroën C3 Picasso 1.6 Flex Exclusive Bva
54.990,102.000 Km,2017,Citroën C4 Lounge 1.6 Thp Exclusive Flex Aut. 4p
26.990,101.000 Km,2010,Citroën C4 2.0 Glx 16v
60.900,33.625 Km,2018,Citroën Aircross Aircross 1.6 Shine 16v Flex 4p
39.900,95.000 Km,2015,Citroën C3 1.6 Tendance 16v
159.900,16.968 Km,2019,Citroën Jumper 2.0 L3h2 (13m3) 5p
18.900,178.000 Km,2008,Citroën C3 1.4 I Exclusive 8v
95.900,27.335 Km,2017,Citroën C4 Picasso C4 Picasso 1.6 Intensive 16v Turbo
75.990,22.000 Km,2020,Citroën C4 Cactus 1.6 Vti 120 Flex Feel Eat6
46.900,60.000 Km,2015,Citroën C4 Lounge 2.0 Tendance Flex Aut. 4p
78.990,27.500 Km,2019,Citroën C4 Lounge 1.6 Shine Thp Flex Aut. 4p
28.999,72.463 Km,2013,Citroën C3 C3 1.6 Picasso Exclusive 16v Flex 4p Manual
34.990,55.000 Km,2014,Citroën C3 Picasso 1.5 Flex Glx Manual
99.900,5.549 Km,2021,Citroën C4 Cactus C4 Cactus Shine 1.6 Thp Aut
62.900,13.640 Km,2019,Citroën Aircross Aircross 1.6 Live 16v Flex 4p Aut
27.990,0 Km,2012,Citroën C4 Picasso 2.0 16v Gasolina 4p Automático
34.900,52.000 Km,2013,Citroën C4 1.6 Glx 16v
41.900,35.000 Km,2015,Citroën C3 1.6 Exclusive 16v Flex 4p Automático
29.980,39.230 Km,2012,Citroën C3 1.6 Exclusive 16v Flex 4p Automático
25.900,136.000 Km,2011,Citroën C4 1.6 Glx Flex 5p
29.900,138.000 Km,2014,Citroën C3 1.5 Origine 8v Flex 4p Manual
34.490,75.000 Km,2015,Citroën C3 C3 Tendance 1.5 8v (flex)
28.990,89.754 Km,2013,Citroën C3 Picasso C3 Picasso Glx 1.6 16v Aut
36.900,117.000 Km,2015,Citroën C3 1.5 Attraction 8v Flex 4p Manual
20.000,115.000 Km,2008,Citroën C3 1.4 8v Glx Flex 5p
31.900,116 Km,2013,Citroën Aircross 1.6 16v Glx Flex 5p
86.900,16.000 Km,2019,Citroën C4 Cactus 1.6 Thp Flex Shine Pack At6
37.900,91.000 Km,2014,Citroën Aircross 1.6 Glx 16v Flex 4p Manual
51.900,50.202 Km,2018,Citroën C3 C3 Exclusive 1.6 16v Flex 4p
48.900,26.000 Km,2017,Citroën C3 C3 Exclusive 1.6 16v  Aut
32.890,62.000 Km,2014,Citroën C3 C3 Tendance 1.5 8v (flex)
29.900,65.000 Km,2013,Citroën C3 Picasso 1.5 Flex Glx Manual
14.990,225 Km,2006,Citroën C3 1.4 8v Glx Flex 5p
39.900,57.000 Km,2014,Citroën C4 2.0 Tendance 16v Flex 4p Automático
33.990,87.000 Km,2017,Citroën C3 1.2 Origine Ptech Flex 5p
61.900,39.829 Km,2019,Citroën C3 C3 Urban Trail 1.6 Flex 16v 5p Aut
20.100,140.000 Km,2011,Citroën C3 1.4 8v X-tr Flex 5p
19.900,126 Km,2009,Citroën C3 1.4 8v Glx Flex 5p
21.900,82.460 Km,2012,Citroën C3 C3 Glx 1.4 8v (flex)
19.900,96.356 Km,2011,Citroën C3 1.4 8v Glx Flex 5p
31.990,73.000 Km,2011,Citroën Aircross 1.6 16v Exclusive Flex 5p
159.900,17.995 Km,2019,Citroën Jumper 2.0 L3h2 (13m3) 5p
32.900,84.000 Km,2013,Citroën C3 1.5 Tendance Flex 5p
73.990,43.000 Km,2020,Citroën C4 Cactus 1.6 Vti 120 Flex Feel Business Eat6
160.378,0 Km,2020,Citroën Jumpy 1.6 (11l) Td Blue Hdi 5p
21.900,118.000 Km,2010,Citroën C3 1.4 I Glx 8v Flex 4p Manual
41.890,76.500 Km,2015,Citroën C3 1.6 Vti 16v Exclusive Flex Aut. 5p
33.990,65.000 Km,2013,Citroën C3 1.6 Vti 16v Exclusive Flex 5p
32.999,40.000 Km,2015,Citroën C3 1.5 Tendance Flex 5p
25.900,118.000 Km,2009,Citroën C4 Grand Picasso 2.0 16v Gasolina 4p Automático
18.990,117.000 Km,2009,Citroën C3 1.4 8v Exclusive Flex 5p
23.980,114.800 Km,2009,Citroën C4 Pallas Glx 2.0 Flex Automatico
32.990,62.000 Km,2014,Citroën C3 Picasso 1.5 Glx Flex 5p
15.900,101 Km,2008,Citroën C3 1.4 I Glx 8v Flex 4p Manual
26.990,139.231 Km,2010,Citroën C4 Picasso 2.0 16v
22.990,190.642 Km,2012,Citroën Xsara Picasso Xsara Picasso 1.6 I Glx 16v Flex 4p Manual 2012
83.990,10.200 Km,2019,Citroën C4 Cactus C4 Cactus 1.6 Thp Flex Shine Eat6
36.900,124.000 Km,2011,Citroën C4 Picasso C4 Picasso 2.0 16v (aut)
75.929,999.999 Km,2019,Citroën C4 Cactus 1.6 Vti 120 Feel
47.890,60.000 Km,2016,Citroën Aircross 1.6 16v Shine Flex Aut. 5p
30.890,98.000 Km,2014,Citroën C3 1.5 Tendance Flex 5p
33.900,57.100 Km,2013,Citroën C3 Picasso 1.5 Glx Flex 5p
12.500,170.000 Km,2009,Citroën Xsara Picasso 2.0 Glx 5p
19.890,136.000 Km,2010,Citroën Xsara Picasso 1.6 I Exclusive 16v Flex 4p Manual
28.900,90.000 Km,2008,Citroën C4 2.0 Vtr 3p
42.900,108.000 Km,2014,Citroën C4 Lounge 2.0 Tend Aut
36.990,32.147 Km,2015,Citroën C3 1.5 Origine 8v
30.872,72.000 Km,2012,Citroën C3 Picasso 1.6 16v Exclusive Flex Aut. 5p
46.490,67.209 Km,2018,Citroën Aircross 1.6 Vti 120 Start
36.990,79.415 Km,2014,Citroën C3 1.6 Exclusive 16v
53.799,25.000 Km,2018,Citroën Aircross Aircross 1.6 16v Live (flex) (aut)
31.900,86.000 Km,2013,Citroën C3 1.6 Vti 16v Exclusive Flex Aut. 5p
33.790,138.000 Km,2013,Citroën C3 Picasso 1.6 Glx Bva
42.952,89.000 Km,2016,Citroën C3 1.6 Exclusive 16v
36.900,64.302 Km,2015,Citroën Aircross 1.6 16v Tendance Flex 5p
55.900,16.400 Km,2017,Citroën Aircross 1.6 Vti 120 Feel Eat6
18.900,115.000 Km,2008,Citroën Xsara Picasso 1.6 Glx Flex 5p
129.900,30.000 Km,2019,Citroën Jumpy 1.6 Td Blue Hdi 5p
23.990,99.000 Km,2011,Citroën C4 1.6 Glx 16v Flex 4p Manual
32.890,99.000 Km,2014,Citroën Aircross 1.6 16v Glx Atacama Flex 5p
64.490,75.000 Km,2019,Citroën C4 Cactus 1.6 Feel 16v Aut. 5p
32.999,133.714 Km,2009,Citroën C4 Picasso 2.0 16v Gasolina 4p Automático
40.900,41.060 Km,2015,Citroën Aircross 1.6 16v Tendance Flex Aut. 5p
25.900,182.000 Km,2012,Citroën C3 Picasso C3 Picasso Glx 1.6 16v (flex)
21.900,103.000 Km,2010,Citroën C4 1.6 Glx Flex 5p
25.890,120.000 Km,2010,Citroën C4 C4 Hatch Glx 2.0 Flex 2010 Completo Troco Financio
14.900,182.000 Km,2006,Citroën C3 C3 Exclusive 1.6 16v (flex)
48.999,99.000 Km,2013,Citroën Ds3 1.6 Thp Gasolina Manual
25.990,132.071 Km,2012,Citroën C3 1.4 I Glx 8v Flex 4p Manual
25.000,111.200 Km,2011,Citroën C3 1.4 8v Glx Flex 5p
159.900,16.968 Km,2019,Citroën Jumper 2.0 Bluehdi Diesel L3h2 Minibus Manual
29.900,105.000 Km,2013,Citroën C3 C3 Tendance 1.5 Flex 8v 5p Mec.
39.900,1 Km,2015,Citroën C3 C3 1.6 Exclusive 16v Flex 4p Automático
31.990,136.642 Km,2013,Citroën C3 1.6 Exclusive 16v
36.900,69.000 Km,2015,Citroën C3 C3 1.5 Tendance 8v Flex 4p Manual
22.900,115.000 Km,2012,Citroën Xsara Picasso 1.6 Glx Flex 5p
139.900,29.000 Km,2020,Citroën Jumpy 1.6 (11l) Td Blue Hdi 5p
14.000,141.400 Km,2008,Citroën C3 1.4 8v Glx Flex 5p
36.990,78.000 Km,2013,Citroën C3 1.6 Picasso Exclusive 16v Flex 4p Automático
51.990,44.490 Km,2018,Citroën Aircross 1.6 Vti 120 Flex Start Live Eat6
89.000,56.000 Km,2013,Citroën Ds5 1.6 Thp 5p
21.900,111.006 Km,2009,Citroën C4 2.0
18.990,165.802 Km,2010,Citroën Xsara Picasso 1.6 I Glx 16v Flex 4p Manual
17.900,112.000 Km,2009,Citroën C3 1.4 I Exclusive 8v
20.900,115.000 Km,2010,Citroën C4 2.0 Glx 16v
48.990,84.453 Km,2017,Citroën Aircross 1.6 Feel 16v Flex 4p Automático
17.490,136.280 Km,2010,Citroën C3 1.4 I Glx 8v Flex 4p Manual
43.890,101.374 Km,2015,Citroën C4 1.6 Tendance 16v Turbo Flex 4p Automático
31.799,75.000 Km,2014,Citroën C3 C3 Tendance 1.5 Flex 8v 5p Mec.
29.990,123.807 Km,2014,Citroën C3 Citroen C3 1.5 Origine 8v Flex 4p Manual
44.900,49.000 Km,2018,Citroën C3 1.2 Pure Tech Flex Attraction Manual
16.877,77.700 Km,2007,Citroën C3 1.6 16v X-tr Flex 5p
21.980,98.000 Km,2010,Citroën C4 1.6 Glx 16v
35.900,59.000 Km,2018,Citroën C3 1.2 Origine Ptech Flex 5p
32.900,73.300 Km,2014,Citroën C3 1.6 Vti 16v Exclusive Flex 5p
52.890,70.000 Km,2014,Citroën Ds4 1.6 Thp 5p
44.700,27.000 Km,2016,Citroën C3 1.5 Exclusive Flex 5p
31.900,94.000 Km,2012,Citroën Aircross 1.6 16v Glx Flex 5p
31.900,70.000 Km,2012,Citroën C4 2.0 Glx Flex Aut. 5p
24.990,99.000 Km,2010,Citroën C3 1.4 8v X-tr Flex 5p
17.800,166.000 Km,2007,Citroën C3 1.4 8v Glx Flex 5p
17.990,130.000 Km,2008,Citroën C3 1.4 8v Exclusive Flex 5p
24.990,129.000 Km,2012,Citroën C3 1.4 8v Exclusive Flex 5p
40.900,93.000 Km,2015,Citroën Aircross 1.6 16v Exclusive Flex Aut. 5p
73.990,43.000 Km,2020,Citroën C4 Cactus 1.6 Feel 16v 5p
42.900,52.700 Km,2017,Citroën C3 1.2 Style Edition Ptech Flex 5p
29.900,93.000 Km,2011,Citroën Aircross 1.6 16v Glx Flex 5p
21.990,107.000 Km,2011,Citroën C3 1.4 8v Exclusive Flex 5p
20.900,188.500 Km,2008,Citroën C3 1.4 8v X-tr Flex 5p
107.000,93.079 Km,2017,Citroën Jumper 2.3 Hdi 33m 15l 5p
26.000,135.000 Km,2010,Citroën C4 2.0 Glx Flex Aut. 5p
28.900,107.000 Km,2012,Citroën C4 Picasso 2.0 5p
25.900,141.840 Km,2009,Citroën C4 Picasso 2.0 16v Gasolina 4p Automático
29.900,108.462 Km,2013,Citroën C3 Picasso 1.6 16v Exclusive Flex 5p
50.900,70.000 Km,2017,Citroën Aircross 1.6 Feel 16v Flex 4p Manual
28.990,129.846 Km,2013,Citroën C3 Picasso 1.5 Flex Glx Manual
17.999,132.000 Km,2009,Citroën C3 1.4 8v Glx Flex 5p
32.900,57.800 Km,2014,Citroën C3 Picasso C3 Picasso Gl 1.5 8v (flex)
25.900,81.000 Km,2012,Citroën C3 1.4 I Glx 8v
21.990,94.489 Km,2011,Citroën C3 1.4 I Glx 8v Flex 4p Manual
31.900,114.000 Km,2013,Citroën C3 1.5 Tendance 8v
33.900,0 Km,2015,Citroën C3 1.5 Tendance 8v Flex 4p Manual
23.900,187.000 Km,2010,Citroën C4 2.0 Glx Pallas 16v
22.490,101.000 Km,2012,Citroën Xsara Picasso 1.6 I Glx 16v Flex 4p Manual
18.000,166.628 Km,2008,Citroën C3 1.4 8v Glx Flex 5p
31.900,97.000 Km,2014,Citroën C3 1.5 Tendance Flex 5p
38.980,49.887 Km,2015,Citroën C3 1.6 Vti 16v Exclusive Flex Aut. 5p
18.900,133.000 Km,2008,Citroën C3 1.4 8v X-tr Flex 5p
