marca,modelo,preco,quilometragem,ano,informacoes,motor
Chevrolet,Agile,23780.0,237654.0,2011,Agile Agile Lt 1.4 8v (flex),1.4
Chevrolet,Agile,35400.0,97193.0,2014,Agile Agile Ltz 1.4 Mpfi 8v Flexpower 5p,1.4
Chevrolet,Agile,23900.0,0.0,2011,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,28900.0,166479.0,2013,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,29700.0,95000.0,2012,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,24990.0,120000.0,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,24900.0,100000.0,2012,Agile 1.4 Mpfi Lt 8v Flex 4p Manual,1.4
Chevrolet,Agile,27900.0,79072.0,2011,Agile Agile Lt 1.4 Mpfi 8v Flexpower 5p,1.4
Chevrolet,Agile,34990.0,129583.0,2014,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,24890.0,148339.0,2011,Agile 1.4 Mpfi Lt 8v Flex 4p Manual,1.4
Chevrolet,Agile,27790.0,71500.0,2012,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,32990.0,176700.0,2011,Agile Ltz 1.4,1.4
Chevrolet,Agile,33900.0,999999.0,2014,Agile Agile Ltz 1.4 8v (flex),1.4
Chevrolet,Agile,26900.0,92816.0,2011,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,27900.0,68000.0,2011,Agile Agile Ltz 1.4 Mpfi 8v Econo.flex Mec.,1.4
Chevrolet,Agile,29400.0,1.0,2013,Agile 1.4 Ltz Easytronic 5p,1.4
Chevrolet,Agile,31900.0,67000.0,2013,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,32900.0,56000.0,2014,Agile Agile 1.4 Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,31900.0,61000.0,2013,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,31050.0,69000.0,2012,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,27900.0,166000.0,2011,Agile Agile Ltz 1.4 Mpfi 8v Flexpower 5p,1.4
Chevrolet,Agile,23900.0,114000.0,2011,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,25900.0,100000.0,2011,Agile Agile Hatch Lt 1.4 8v (flex) 4p,1.4
Chevrolet,Agile,33900.0,155000.0,2013,Agile Agile Ltz 1.4 Mpfi 8v Flexpower 5p,1.4
Chevrolet,Agile,26980.0,76002.0,2010,Agile Agile Ltz 1.4 8v (flex),1.4
Chevrolet,Agile,29990.0,97074.0,2013,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual,1.4
Chevrolet,Agile,27890.0,1.0,2011,Agile 1.4 Ltz 5p,1.4
Chevrolet,Agile,29900.0,100.0,2012,Agile 1.4 Mpfi Ltz 8v Flex 4p Manual 2011/2012,1.4
Chevrolet,Agile,25790.0,66592.0,2012,Agile 1.4 Lt 5p,1.4
Chevrolet,Agile,25790.0,58790.0,2012,Agile 1.4 Lt 5p,1.4
