preco,quilometragem,ano,marca,modelo,informacoes
46970,200000,2007,renault,Megane,Sedan 1.6 Dynamique 16v
17890,87500,2014,volkswagem,Jetta,2.0 Tsi Highline 4p
57800,25000,2017,kia,Sportage,2.0 Ex 4x2 Flex Aut. 5p
128000,54000,2016,hyundai,Tucson,2.0 Gls 4x2 Flex Aut. 5p
52990,100000,2011,hyundai,Ix35,2.0 Gls 2wd Aut. 5p
52990,102000,2013,renault,Duster,2.0 16v Dynamique Hi-flex Aut. 5p
42879,128000,2014,Mitsubishi,Asx,2.0 2wd Cvt 5p
50900,96000,2013,hyundai,Tucson,2.0 Gls 4x2 Aut. 5p
39990,131000,2016,jeep,Renegade,2.0 Longitude 4x4 Aut. 5p
79890,80000,2015,hyundai,Grand,Santa Fé 3.3 7l 4wd Aut. 5p
101900,126000,2009,Mitsubishi,Outlander,3.0 5p
38900,95000,2016,chevrolet,Tracker,1.8 Ltz Aut. 5p
64990,101637,2011,peugeot,3008,1.6 Thp Griffe Aut. 5p
38900,0,2011,ford,Ecosport,2.0 Xlt Flex Aut. 5p
33800,38000,2018,honda,Hr-v,1.8 Exl Flex Aut. 5p
91900,89000,2012,hyundai,Ix35,2.0 Gls 2wd Aut. 5p
58900,85400,2009,Mitsubishi,Pajero,Tr4 2.0 Flex Aut. 5p
35770,93000,2013,ford,Ecosport,1.6 16v Se Flex 5p
42790,75000,2015,Mitsubishi,Asx,Asx 2.0 16v Cvt
59999,65000,2015,hyundai,Tucson,2.0 Gls 4x2 Flex Aut. 5p
49900,77000,2013,ford,Edge,3.5 Limited Awd 5p
62990,42000,2016,land rover,Rover,Evoque 2.0 Si4 Hse Dynamic 5p
198000,41217,2017,hyundai,Ix35,2.0 Gl 2wd Flex Aut. 5p
79900,119000,2012,bmw,X1,2.0 Sdrive 18i Top 5p
59990,0,2021,jeep,Compass,2.0 Sport Flex Aut. 5p
109900,110000,2012,land rover,Rover,Freelander 2.2 Sd4 Dynamic 5p
