motor,marca,modelo,preco,quilometragem,ano,informacoes
2.0,Chevrolet,astra,10900,170000.0,2007,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra,18999,122242.0,2008,Astra Sedan 2.0 Advantage Flex Power 4p
1.8,Chevrolet,astra,18900,271000.0,2003,Astra Sedan Astra Sedan 1.8 Mpfi  4p
2.0,Chevrolet,astra,15500,113649.0,2011,Astra Sedan 2.0 Advantage Flex Power Aut. 4p
2.0,Chevrolet,astra,28990,209403.0,2006,Astra 2.0 Advantage Flex Power 3p
2.0,Chevrolet,astra,18500,244.0,2008,Astra 2.0 Advantage Flex Power 5p
2.0,Chevrolet,astra,19990,76000.0,2010,Astra Sedan Astra Sed. Advant. 2.0 8v Mpfi Flexp. 4p
2.0,Chevrolet,astra,23990,135000.0,2002,Astra 2.0 8v Sunny 3p
2.0,Chevrolet,astra,26900,77500.0,2007,Astra 2.0 Advantage Flex Power Aut. 5p
2.0,Chevrolet,astra,25900,185600.0,2003,Astra Sedan 2.0 Sfi Cd Sedan 16v
2.0,Chevrolet,astra,19900,195265.0,2011,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
2.0,Chevrolet,astra,25900,159.0,2009,Astra Astra Hatch Advantage 2.0 8v 4p
2.0,Chevrolet,astra,25900,106523.0,2009,Astra 2.0 Mpfi Advantage 8v Flex 4p Manual
2.0,Chevrolet,astra,28900,257935.0,2002,Astra Sedan Astra Sed.gl Expression 2.0 4p
2.0,Chevrolet,astra,15900,170000.0,2004,Astra Sedan Astra Sedan 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,19900,99900.0,2006,Astra 2.0 Mpfi Elegance 8v Flex 4p Manual
2.0,Chevrolet,astra,22900,50000.0,2005,Astra 2.0 16v Gsi 5p
2.0,Chevrolet,astra,59900,93000.0,2000,Astra 2.0 Mpfi Gls 8v Gasolina 2p Manual
2.0,Chevrolet,astra,24999,188000.0,2011,Astra 2.0 Mpfi Advantage 8v
2.0,Chevrolet,astra,26500,168337.0,2009,Astra 2.0 Especial Advantage Flex Power 5p 121 Hp
2.0,Chevrolet,astra,24990,223000.0,2004,Astra 2.0 8v 5p
2.0,Chevrolet,astra,13900,82000.0,2001,Astra 2.0 Mpfi Sport 8v
1.8,Chevrolet,astra,29880,260530.0,2001,Astra 1.8 Gl 3p
2.0,Chevrolet,astra,13990,164758.0,2005,Astra Sedan 2.0 Comfort Flex Power 4p
2.0,Chevrolet,astra,19800,120000.0,2008,Astra Sedan 2.0 Elegance Flex Power 4p
2.0,Chevrolet,astra,21900,160000.0,2009,Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp
2.0,Chevrolet,astra,23800,185600.0,2003,Astra 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,19900,117.0,2004,Astra 2.0 8v Cd 5p
2.0,Chevrolet,astra,16500,0.0,2003,Astra 2.0 8v Aut. 5p
1.8,Chevrolet,astra,19500,1.0,2000,Astra Sedan Astra Sedan 1.8 Mpfi Gl Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra,11900,1.0,2009,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra,21900,233000.0,2000,Astra Sedan Astra Sedan 2.0 Mpfi  4p
2.0,Chevrolet,astra,10990,180000.0,2000,Astra Sedan 2.0 Gls 4p
2.0,Chevrolet,astra,14900,150000.0,2005,Astra 2.0 Advantage Flex Power 3p
2.0,Chevrolet,astra,18000,180.0,2001,Astra Sedan Astra Sedan 2.0 Mpfi Gls Sedan 8v Gasolina 4p Manual
1.8,Chevrolet,astra,16900,207374.0,1999,Astra Sedan 1.8 Gl 4p
2.0,Chevrolet,astra,14000,1.0,2004,Astra Sedan 2.0 8v Cd 4p
2.0,Chevrolet,astra-sedan,147900,98000.0,2010,Astra 2.0 Mpfi Advantage Sedan 8v
2.0,Chevrolet,astra-sedan,22990,112000.0,2011,Astra Sedan Astra Advantage 2.0 Mpfi 8v Flexpower 5p
2.0,Chevrolet,astra-sedan,27900,123000.0,2009,Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp
2.0,Chevrolet,astra-sedan,24000,239429.0,1999,Astra Sedan 2.0 Gls 4p
2.0,Chevrolet,astra-sedan,16900,130000.0,2011,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,23900,210000.0,2005,Astra Sedan 2.0 Comfort Flex Power 4p
2.0,Chevrolet,astra-sedan,16490,120000.0,2008,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,26000,190000.0,2002,Astra Sedan 2.0 8v 4p
2.0,Chevrolet,astra-sedan,22990,251156.0,2005,Astra 2.0 Mpfi Elite Sedan 8v
2.0,Chevrolet,astra-sedan,23990,170000.0,2002,Astra Sedan 2.0 Automática
2.0,Chevrolet,astra-sedan,15900,999999.0,2007,Astra Sedan Astra Sedan Advantage 2.0 (flex)
2.0,Chevrolet,astra-sedan,21900,152000.0,2006,Astra 2.0 Mpfi Elegance Sedan 8v Flex 4p Automático
1.6,Chevrolet,astra-sedan,19900,1.0,2010,Astra 1.6
2.0,Chevrolet,astra-sedan,21500,179000.0,2000,Astra Sedan 2.0 Mpfi Gls Sedan 8v
2.0,Chevrolet,astra-sedan,13900,87000.0,2009,Astra Sedan 2.0 Advantage Flex Power Aut. 4p 121 Hp
2.0,Chevrolet,astra-sedan,24900,122242.0,2008,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,18900,209000.0,2003,Astra 2.0 Mpfi Sedan 8v Gasolina 4p Manual
1.8,Chevrolet,astra-sedan,12300,1.0,2003,Astra Sedan Astra Sedan 1.8 Mpfi Comfort Sedan 8v Álcool 4p Manual
2.0,Chevrolet,astra-sedan,15900,80000.0,2009,Astra Sedan 2.0 Advantage Flex Power 4p 121 Hp
2.0,Chevrolet,astra-sedan,20000,113649.0,2011,Astra Sedan 2.0 Advantage Flex Power Aut. 4p
1.8,Chevrolet,astra-sedan,28990,111.0,2003,Astra Sedan 1.8 Sedan 4p
2.0,Chevrolet,astra-sedan,13000,76000.0,2010,Astra Sedan Astra Sed. Advant. 2.0 8v Mpfi Flexp. 4p
2.0,Chevrolet,astra-sedan,23990,185600.0,2003,Astra Sedan 2.0 Sfi Cd Sedan 16v
2.0,Chevrolet,astra-sedan,19900,122000.0,2011,Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Automático
2.0,Chevrolet,astra-sedan,26890,257935.0,2002,Astra Sedan Astra Sed.gl Expression 2.0 4p
2.0,Chevrolet,astra-sedan,15900,170000.0,2004,Astra Sedan Astra Sedan 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,19900,173000.0,2004,Astra Sedan Astra Sedan 2.0 Mpfi  4p
2.0,Chevrolet,astra-sedan,16900,165491.0,2011,Astra Sedan 2.0 Advantage Flex Power Aut. 4p
2.0,Chevrolet,astra-sedan,13900,120000.0,2007,Astra 2.0 Mpfi Advantage Sedan
2.0,Chevrolet,astra-sedan,17900,1.0,2009,Astra Sedan Astra Hatch Advantage 2.0 8v 4p
2.0,Chevrolet,astra-sedan,21890,230000.0,2008,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,19990,164758.0,2005,Astra Sedan 2.0 Comfort Flex Power 4p
2.0,Chevrolet,astra-sedan,19800,120000.0,2008,Astra Sedan 2.0 Elegance Flex Power 4p
2.0,Chevrolet,astra-sedan,21900,185600.0,2003,Astra 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,19900,151628.0,2007,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,21900,86000.0,2008,Astra Astra Sedan Advantage 2.0 (flex)
2.0,Chevrolet,astra-sedan,21900,134000.0,2006,Astra 2.0 Mpfi Elegance Sedan 8v
2.0,Chevrolet,astra-sedan,19500,93552.0,2010,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
1.8,Chevrolet,astra-sedan,27900,1.0,2000,Astra Sedan Astra Sedan 1.8 Mpfi Gl Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,11900,1.0,2009,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,21900,233000.0,2000,Astra Sedan Astra Sedan 2.0 Mpfi  4p
2.0,Chevrolet,astra-sedan,10990,180000.0,2000,Astra Sedan 2.0 Gls 4p
2.0,Chevrolet,astra-sedan,14900,89922.0,2007,Astra Sedan 2.0 Advantage Flex Power 4p
1.8,Chevrolet,astra-sedan,23800,207374.0,1999,Astra Sedan 1.8 Gl 4p
2.0,Chevrolet,astra-sedan,19800,120000.0,2007,Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,19990,1.0,2007,Astra Sedan 2.0 Elegance Flex Power 4p
2.0,Chevrolet,astra-sedan,18900,122242.0,2008,Astra Sedan 2.0 Advantage Flex Power 4p
