marca,modelo,motor,ano,quilometragem,novo,preco
fiat,Toro,1.8,2017,47000,0,46900
chevrolet,Montana,1.4,2012,120000,0,81900
chevrolet,Montana,1.4,2015,140000,0,33900
ford,Ranger,3.2,2015,99000,0,30900
renault,Master,2.3,2021,0,1,124900
mercedes,Sprinter,2.2,2021,0,1,142900
mercedes,Sprinter,2.2,2021,0,1,177900
fiat,Strada,1.4,2019,40000,0,198000
fiat,Strada,1.4,2021,0,1,51800
toyota,Hilux,2.8,2020,0,1,68000
fiat,Strada,1.3,2021,0,1,270000
fiat,Toro,1.8,2021,20,0,78900
fiat,Toro,1.8,2018,76466,0,118900
fiat,Toro,2.0,2020,1,0,84790
toyota,Hilux,2.8,2017,80000,0,139900
Mitsubishi,L200,2.5,2010,218000,0,99900
chevrolet,Montana,1.4,2018,44000,0,48000
fiat,Toro,1.8,2020,12000,0,47900
toyota,Hilux,2.7,2015,82185,0,83900
nissan,Frontier,2.3,2021,0,1,89900
renault,Duster,2.0,2019,43000,0,179800
fiat,Toro,1.8,2017,92500,0,79900
ford,Ranger,2.3,2009,157800,0,75900
fiat,Toro,2.0,2021,6748,0,38500
jeep,Renegade,1.8,2021,0,1,147900
chevrolet,Trailblazer,2.8,2013,94153,0,83990
fiat,Strada,1.4,2020,39890,0,125000
ford,Ranger,3.2,2017,93000,0,56990
fiat,Strada,1.3,2021,0,1,144900
toyota,Hilux,2.8,2019,63742,0,86000
volkswagem,Saveiro,1.6,2011,100000,0,250000
ford,Ranger,2.5,2013,98000,0,25500
hyundai,Hr,2.5,2016,150000,0,69890
fiat,Toro,1.8,2019,24000,0,79990
chevrolet,Montana,1.4,2020,21000,0,85790
fiat,Toro,2.0,2021,0,1,65600
volkswagem,Amarok,2.0,2014,127000,0,136662
toyota,Hilux,2.8,2020,2800,0,87000
peugeot,Hoggar,1.4,2012,116000,0,232900
volkswagem,Saveiro,1.6,2018,76631,0,16800
fiat,Strada,1.4,2018,81874,0,52790
fiat,Toro,1.8,2021,0,1,47999
fiat,Fiorino,1.4,2016,140000,0,159690
volkswagem,Kombi,1.4,2011,40000,0,47500
volkswagem,Kombi,1.4,2008,250000,0,23900
fiat,Fiorino,1.3,2013,98417,0,46900
kia,Bongo,,2020,820,0,33990
ford,Transit,2.2,2012,101000,0,135900
fiat,Fiorino,1.4,2021,100,0,69910
mercedes,Sprinter,2.2,2013,420000,0,80000
fiat,Ducato,2.8,2007,922754,0,102000
renault,Master,2.3,2017,209096,0,54900
renault,Master,2.3,2021,0,1,140000
renault,Master,2.3,2021,0,1,159900
renault,Master,2.3,2021,0,1,145900
fiat,Ducato,2.3,2021,0,1,195900
fiat,Ducato,2.3,2021,0,1,139900
mercedes,Sprinter,2.2,2021,0,1,147900
renault,Master,2.3,2021,0,1,173900
peugeot,Expert,,2020,0,1,179900
fiat,Ducato,2.3,2020,0,1,139900
fiat,Ducato,2.3,2019,0,1,157900
fiat,Ducato,,2021,0,1,159900
fiat,Ducato,2.3,2020,0,1,154900
renault,Kangoo,1.6,2018,99333,0,134900
renault,Master,2.5,2013,418345,0,50000
renault,Master,2.3,2018,129364,0,90000
renault,Master,2.3,2020,0,1,112000
renault,Master,2.3,2020,0,1,190000
fiat,Fiorino,1.4,2020,36863,0,174900
renault,Master,2.3,2020,0,1,66900
renault,Master,2.3,2017,236345,0,174000
volkswagem,Kombi,1.4,2012,190000,0,109900
fiat,Fiorino,1.3,2013,189000,0,27900
fiat,Fiorino,1.4,2021,100,0,31900
renault,Master,2.3,2018,215044,0,80000
renault,Master,2.5,2013,295000,0,132000
mercedes,Sprinter,2.2,2021,0,1,65000
fiat,Fiorino,1.3,2012,98000,0,198000
renault,Kangoo,1.6,2012,54885,0,29900
renault,Master,2.3,2017,140000,0,25000
renault,Master,2.3,2020,17000,0,103900
renault,Master,2.3,2019,122000,0,139900
renault,Master,2.3,2021,0,1,141900
mercedes,Sprinter,,2021,0,1,174900
mercedes,Sprinter,2.2,2021,0,1,165900
fiat,Doblo,1.8,2010,253413,0,184900
fiat,Ducato,2.8,2008,260000,0,29900
mercedes,Sprinter,2.2,2021,0,1,62000
renault,Master,2.3,2017,133718,0,189000
peugeot,Boxer,,2010,348952,0,153800
citroen,Jumper,2.3,2014,190000,0,59900
fiat,Ducato,,2009,451781,0,75000
mercedes,Sprinter,2.2,2008,153000,0,23000
fiat,Ducato,2.3,2014,230000,0,65000
mercedes,Sprinter,2.2,2019,180000,0,87000
fiat,Ducato,,2011,88000,0,161890
mercedes,Sprinter,,2006,470000,0,65900
fiat,Ducato,2.8,2003,185000,0,43900
mercedes,Sprinter,,2019,0,1,33900
renault,Master,2.3,2021,0,1,173900
renault,Master,2.3,2015,279949,0,210900
volkswagem,Kombi,1.4,2014,85000,0,120000
mercedes,Sprinter,2.2,2020,0,1,42890
mercedes,Sprinter,2.2,2018,278254,0,242000
fiat,Ducato,2.3,2015,86000,0,182000
mercedes,Sprinter,2.2,2019,7500,0,99000
fiat,Ducato,2.3,2013,158000,0,195000
fiat,Ducato,2.3,2013,188000,0,86990
mercedes,Sprinter,2.2,2020,0,1,95900
renault,Master,2.3,2018,130000,0,197999
fiat,Ducato,2.3,2012,180000,0,125000
renault,Master,2.3,2016,56000,0,69900
mercedes,Sprinter,2.2,2017,163000,0,132000
fiat,Ducato,2.3,2014,78000,0,178000
volkswagem,Kombi,1.4,2009,80600,0,74990
fiat,Ducato,2.3,2010,194837,0,21499
mercedes,Sprinter,2.2,2008,560000,0,59800
renault,Master,2.3,2014,6000,0,55000
fiat,Ducato,2.3,2011,189000,0,119999
mercedes,Sprinter,2.2,2016,111000,0,59000
peugeot,Boxer,2.3,2013,166000,0,95990
citroen,Jumper,2.3,2013,160000,0,69000
fiat,Ducato,2.8,2009,312000,0,59900
volkswagem,Kombi,1.6,2005,111111,0,62000
citroen,Jumper,2.3,2016,104000,0,35200
mercedes,Sprinter,2.2,2014,130000,0,105900
mercedes,Sprinter,2.2,2015,175000,0,85990
renault,Master,,2019,47680,0,138000
mercedes,Sprinter,2.2,2017,99000,0,139990
renault,Master,,2013,227249,0,119990
peugeot,Boxer,2.3,2016,113000,0,92900
volkswagem,Kombi,1.4,2013,168000,0,79900
peugeot,Boxer,2.8,2008,260000,0,32000
fiat,Ducato,2.3,2010,196000,0,44000
mercedes,Sprinter,2.2,2013,180000,0,67000
volkswagem,Kombi,1.6,1999,100000,0,79990
citroen,C3,1.6,2014,90000,0,179900
peugeot,2008,1.6,2020,14000,0,34900
honda,Fit,1.5,2007,149000,0,70990
citroen,Aircross,1.6,2019,38400,0,22900
honda,Fit,1.5,2016,79000,0,56500
fiat,Idea,1.4,2010,189000,0,54890
honda,Fit,1.4,2014,1,0,22850
honda,Fit,1.5,2017,30012,0,41890
chevrolet,Meriva,1.8,2007,149000,0,64900
fiat,Idea,1.6,2015,70000,0,22990
citroen,C3,1.6,2012,97900,0,31990
fiat,Idea,1.4,2012,110000,0,28900
peugeot,2008,1.6,2020,0,1,27900
honda,Fit,1.5,2015,88000,0,93990
fiat,Idea,1.4,2014,99000,0,55900
fiat,Idea,1.4,2007,166000,0,32990
citroen,C3,1.5,2013,49000,0,19983
honda,Fit,1.5,2015,156000,0,30900
honda,Fit,1.4,2014,82000,0,50990
citroen,Aircross,1.6,2018,54000,0,43000
fiat,Idea,1.4,2010,87000,0,55900
mercedes,Classe,1.6,2016,59000,0,27900
citroen,Aircross,1.6,2019,43000,0,79900
peugeot,2008,1.6,2016,156000,0,60900
chevrolet,Meriva,1.8,2009,119800,0,46900
citroen,Aircross,1.6,2017,70000,0,23500
honda,Fit,1.5,2010,76000,0,49990
fiat,Idea,1.8,2007,1000,0,29000
chrysler,Pt,2.4,2008,100000,0,21900
mercedes,Classe,1.6,2003,101000,0,28000
fiat,Idea,1.8,2011,1,0,14900
chevrolet,Meriva,1.4,2011,124795,0,31900
peugeot,2008,1.6,2021,0,1,27900
peugeot,2008,1.6,2021,0,1,82990
honda,Fit,1.4,2004,135900,0,96990
citroen,C3,1.6,2012,85000,0,19900
fiat,Fiat,,2012,50400,0,29877
honda,Fit,1.4,2014,64328,0,24500
citroen,Aircross,1.6,2014,60,0,49900
honda,Fit,1.5,2006,240000,0,38000
mercedes,Classe,,2015,32000,0,27890
chevrolet,Spin,1.8,2018,77200,0,189900
peugeot,2008,1.6,2018,23000,0,51990
fiat,Idea,1.6,2016,52013,0,53000
mercedes,Classe,1.6,2014,125000,0,39900
citroen,Aircross,1.6,2015,77000,0,78000
chrysler,Pt,2.4,2010,106316,0,38900
honda,Fit,1.4,2013,107000,0,32890
jinbei,Topic,2.0,2013,66900,0,55800
jinbei,Topic,2.0,2014,94200,0,34000
peugeot,Boxer,2.8,2008,394290,0,40900
peugeot,Boxer,2.3,2013,214200,0,48900
fiat,Idea,1.4,2010,39000,0,67900
honda,Fit,1.5,2011,126655,0,28900
chevrolet,Zafira,2.0,2012,140221,0,42900
mercedes,Sprinter,,2012,340000,0,33000
fiat,Doblo,1.8,2011,118000,0,84900
jinbei,Topic,2.0,2012,165300,0,41900
citroen,Xsara,1.6,2011,135000,0,35900
citroen,Aircross,1.6,2014,222000,0,22990
citroen,Aircross,1.6,2017,79000,0,30889
honda,Fit,1.4,2008,156000,0,50990
fiat,Ducato,,2015,151048,0,32900
jinbei,Topic,2.2,2015,48000,0,115000
honda,Fit,1.4,2012,134000,0,34990
citroen,C3,1.6,2012,78471,0,41900
chevrolet,Ss10,4.3,1995,146000,0,32490
chevrolet,Hhr,2.4,2006,68000,0,32000
citroen,Jumpy,1.6,2018,11330,0,84800
nissan,Livina,1.8,2012,199000,0,105000
honda,Fit,1.4,2010,97253,0,248800
nissan,Livina,1.8,2013,89007,0,37500
jinbei,Topic,2.0,2012,33125,0,30990
nissan,Grand,1.8,2013,100000,0,28900
kia,Soul,1.6,2011,136000,0,35900
citroen,Jumper,,2011,327000,0,32500
dodge,Journey,2.7,2010,89000,0,79900
honda,Fit,1.4,2008,186000,0,69000
chevrolet,Zafira,2.0,2011,90000,0,26900
fiat,Doblo,1.8,2013,100000,0,30990
chevrolet,Zafira,2.0,2010,120000,0,50000
kia,Sportage,2.0,2019,44000,0,28900
fiat,Idea,1.4,2015,49000,0,129900
fiat,Doblo,1.8,2009,229981,0,34700
mercedes,Classe,1.6,2019,12000,0,24990
citroen,Jumper,2.3,2017,93079,0,174890
chrysler,Pacifica,,2018,23500,0,105000
hyundai,Tucson,2.0,2010,128694,0,429800
fiat,Idea,1.4,2012,125329,0,34900
ford,Ecosport,2.0,2010,90000,0,28900
volkswagem,Golf,1.4,2016,70000,0,33990
chrysler,Grand,3.3,2008,69000,0,74900
hyundai,H1,2.5,2005,279000,0,119990
fiat,Doblo,1.8,2020,1,0,40990
peugeot,208,1.2,2020,37000,0,29900
volkswagem,Crossfox,1.6,2014,85129,0,56900
hyundai,Hb20,1.0,2021,0,1,37500
renault,Clio,1.0,2011,165000,0,77690
fiat,Mobi,1.0,2018,80000,0,12500
ford,Fiesta,1.0,2009,100523,0,33900
nissan,Tiida,1.8,2009,159000,0,16990
chevrolet,Astra,2.0,2009,105000,0,21999
hyundai,Hb20,1.0,2018,70800,0,27990
volvo,V40,2.0,2017,23000,0,42500
chevrolet,Onix,1.4,2017,23000,0,74900
ford,Focus,1.6,2014,63000,0,52900
hyundai,Hb20,1.0,2019,39000,0,46900
fiat,Palio,1.4,2007,100,0,44890
chevrolet,Vectra,2.0,2011,131203,0,20590
fiat,Palio,1.4,2012,65107,0,31900
audi,A1,1.4,2014,55000,0,22890
nissan,March,1.6,2015,93450,0,76900
hyundai,Hb20x,1.6,2020,0,1,34990
volkswagem,Fox,1.0,2010,144446,0,73990
citroen,C3,1.4,2008,90000,0,19999
ford,Ka,1.0,2009,89070,0,17900
fiat,Palio,1.0,2005,98000,0,17900
ford,Ka,1.0,2018,55000,0,11800
hyundai,Hb20,1.0,2019,19300,0,36890
peugeot,307,1.6,2011,98000,0,45500
volkswagem,Fox,1.0,2012,116000,0,22900
chevrolet,Corsa,1.0,1997,200189,0,23900
ford,Focus,2.0,2016,90000,0,10900
volkswagem,Gol,1.0,2018,49708,0,58900
fiat,Palio,1.6,2016,57000,0,38900
hyundai,Hb20,1.6,2017,80000,0,39500
ford,Focus,2.0,2015,57777,0,40980
toyota,Etios,1.5,2014,106000,0,64999
ford,Ka,1.0,2003,209000,0,36500
chevrolet,Corsa,1.0,2008,113252,0,9200
renault,Clio,1.6,2007,140000,0,18900
ford,Fiesta,1.0,2008,114714,0,16990
chevrolet,Onix,1.0,2018,59000,0,20900
volkswagem,Polo,1.6,2011,69000,0,39870
citroen,C3,1.5,2013,102000,0,28890
ford,Fiesta,1.6,2013,105000,0,27800
hyundai,Hb20,1.0,2014,98000,0,24900
volkswagem,Gol,1.6,2006,33000,0,33900
kia,Picanto,1.0,2008,129498,0,29990
volkswagem,Fox,1.6,2013,125000,0,19900
citroen,C3,1.4,2010,74000,0,32900
ford,Ka,1.5,2018,54052,0,43900
toyota,Corolla,2.0,2013,73000,0,41900
bmw,Serie,2.0,2016,65000,0,57890
audi,A3,2.0,2020,0,1,106900
renault,Logan,1.0,2008,178000,0,187900
toyota,Corolla,2.0,2015,67993,0,14499
mercedes,Classe,1.6,2020,0,1,79790
toyota,Corolla,1.8,2019,54400,0,55900
toyota,Corolla,2.0,2011,168211,0,82000
hyundai,Hb20s,1.0,2015,59000,0,46890
chevrolet,Vectra,2.0,2009,146000,0,39890
volkswagem,Voyage,1.0,2013,120000,0,25000
honda,Accord,3.5,2008,98500,0,25890
renault,Logan,1.0,2012,88000,0,42000
ford,Ka,1.5,2016,89000,0,18900
fiat,Grand,1.4,2015,69000,0,38990
renault,Logan,1.6,2014,150000,0,36900
ford,Fiesta,1.6,2011,67000,0,31900
renault,Megane,1.6,2010,136000,0,26890
chevrolet,Prisma,1.4,2012,95262,0,23500
volkswagem,Jetta,2.0,2016,93071,0,26900
nissan,Tiida,1.8,2011,135000,0,66990
fiat,Siena,1.0,2009,90000,0,23890
hyundai,Azera,3.3,2008,157699,0,16900
toyota,Corolla,1.8,2017,100000,0,31000
chevrolet,Cobalt,1.8,2014,107000,0,68900
honda,Civic,2.0,2017,39929,0,36500
toyota,Corolla,2.0,2017,78000,0,94990
renault,Megane,1.6,2010,155000,0,81900
chevrolet,Prisma,1.0,2015,87800,0,21900
mercedes,Classe,1.8,2009,32000,0,36990
chevrolet,Prisma,1.4,2012,360,0,55000
ford,Fiesta,1.6,2015,75000,0,24990
hyundai,Elantra,,2014,68500,0,41500
volkswagem,Jetta,1.4,2018,32000,0,57900
honda,Civic,1.7,2003,258106,0,99990
chevrolet,Cruze,1.4,2019,18000,0,17900
bmw,Serie,2.0,2018,60000,0,94990
renault,Fluence,2.0,2015,70000,0,141900
renault,Logan,1.0,2011,120000,0,44990
hyundai,Hb20s,1.0,2021,0,1,18900
volkswagem,Santana,,1996,286857,0,58590
bmw,Serie,2.0,2015,63050,0,11000
toyota,Corolla,2.0,2013,94000,0,84900
mercedes,Classe,1.8,2012,73000,0,54990
chevrolet,Cobalt,1.4,2013,160000,0,67990
volkswagem,Jetta,2.0,2014,64900,0,28450
mercedes,Classe,2.0,2018,5750,0,59800
renault,Captur,1.6,2020,0,1,245000
jeep,Compass,2.0,2020,16000,0,69900
volkswagem,Nivus,1.0,2021,0,1,159990
hyundai,Creta,1.6,2020,0,1,113990
hyundai,Tucson,2.0,2013,122,0,84990
mercedes,Classe,1.6,2015,98000,0,34900
jac,T5,1.5,2017,48000,0,98999
hyundai,Ix35,2.0,2015,165000,0,56900
kia,Sorento,3.3,2016,84000,0,61890
hyundai,Creta,2.0,2020,16200,0,110000
Mitsubishi,Pajero,3.2,2012,133000,0,101990
honda,Cr-v,2.0,2011,168000,0,89000
ford,Edge,3.5,2012,82000,0,43000
Mitsubishi,Pajero,3.2,2006,40000,0,65000
bmw,X6,3.0,2013,60000,0,75000
renault,Duster,1.6,2016,61000,0,149999
volkswagem,Tiguan,2.0,2011,61786,0,47900
ford,Edge,3.5,2013,79437,0,51900
jeep,Renegade,2.0,2016,78000,0,63000
ford,Ecosport,2.0,2007,127878,0,92900
land rover,Rover,,2013,110000,0,21880
hyundai,Ix35,2.0,2015,85000,0,116000
jeep,Compass,2.0,2020,14400,0,61890
mercedes,Classe,1.6,2019,19000,0,124990
honda,Hr-v,1.8,2016,61896,0,148999
kia,Sorento,3.5,2014,90930,0,76900
land rover,Rover,2.7,2009,180000,0,84900
peugeot,2008,1.6,2019,23453,0,73900
audi,Q3,2.0,2015,63280,0,71790
land rover,Rover,3.0,2014,68000,0,97900
chevrolet,Blazer,4.3,2000,135000,0,270000
ford,Ecosport,1.6,2016,50000,0,18900
chevrolet,Tracker,1.0,2021,0,1,55900
audi,Q3,1.4,2019,15900,0,101900
nissan,Kicks,1.6,2021,0,1,141000
hyundai,Creta,2.0,2021,0,1,106900
jeep,Compass,2.0,2018,32000,0,111990
volvo,Xc60,3.0,2011,113000,0,106980
Mitsubishi,Outlander,3.0,2010,130000,0,51900
volvo,Xc60,2.0,2011,103000,0,39999
land rover,Rover,2.0,2013,110000,0,52900
chevrolet,Captiva,2.4,2012,106000,0,95000
land rover,Rover,2.0,2012,56736,0,43000
jeep,Renegade,1.8,2019,16000,0,120000
bmw,X4,3.0,2019,21000,0,69900
honda,Cr-v,2.0,2009,147000,0,348990
volkswagem,T-cross,1.0,2020,16700,0,47900
toyota,Hilux,2.8,2015,86000,0,35999
fiat,Strada,1.8,2018,65000,0,108900
ford,Ranger,3.2,2014,135000,0,63900
nissan,Frontier,2.3,2018,52357,0,87759
volkswagem,Amarok,2.0,2013,92940,0,135900
fiat,Fiorino,1.5,1998,220000,0,92900
ford,Ranger,2.5,2015,214,0,21500
chevrolet,Trailblazer,3.6,2013,135000,0,104990
toyota,Hilux,2.8,2020,6100,0,78900
chevrolet,S10,2.5,2018,108000,0,245000
nissan,Frontier,2.3,2018,25000,0,110000
renault,Master,2.3,2021,0,1,150000
mercedes,Sprinter,2.2,2021,0,1,143900
fiat,Strada,1.4,2021,0,1,195900
toyota,Hilux,2.8,2020,0,1,67990
fiat,Strada,1.3,2021,0,1,240000
mercedes,Sprinter,2.2,2021,0,1,76500
chevrolet,Montana,1.4,2018,65000,0,198000
fiat,Toro,1.8,2018,70002,0,42900
fiat,Toro,2.0,2021,0,1,83874
fiat,Toro,1.8,2021,0,1,143990
fiat,Toro,1.8,2021,0,1,97495
fiat,Strada,1.4,2021,0,1,106990
volkswagem,Saveiro,1.6,2018,55000,0,81500
volkswagem,Saveiro,1.6,2017,73000,0,69900
chevrolet,S10,2.8,2018,104,0,66900
chevrolet,Ssr,,1995,95000,0,169900
fiat,Strada,1.8,2009,133000,0,80000
chevrolet,S-10,2.8,2016,157000,0,37900
chevrolet,Montana,1.4,2020,31000,0,119900
fiat,Toro,2.0,2021,0,1,63900
volkswagem,Saveiro,1.6,2013,159000,0,119420
volkswagem,Amarok,2.0,2012,200000,0,32900
volkswagem,Amarok,2.0,2013,198000,0,80900
fiat,Strada,1.8,2010,124000,0,97500
toyota,Hilux,2.8,2018,95000,0,35990
fiat,Toro,2.0,2019,39950,0,180000
volkswagem,Saveiro,1.6,2017,190000,0,117900
toyota,Hilux,3.0,2013,165000,0,37890
chevrolet,S10,2.4,2010,122000,0,135000
fiat,Toro,1.8,2019,43309,0,44990
volkswagem,Saveiro,1.6,2015,65000,0,92900
dodge,Ram,6.7,2020,1030,0,52999
fiat,Toro,2.0,2021,0,1,469900
ford,Ranger,2.3,2008,157000,0,147990
nissan,Frontier,2.3,2021,195900,0,41890
fiat,Strada,1.3,2021,0,1,189900
renault,Master,2.5,2013,273793,0,38500
fiat,Ducato,2.3,2013,330240,0,90000
citroen,Jumpy,1.6,2020,0,1,51000
fiat,Ducato,2.3,2011,258000,0,129990
fiat,Fiorino,1.4,2017,70000,0,84900
fiat,Fiorino,1.4,2018,84300,0,56900
peugeot,Expert,1.6,2019,81814,0,60990
renault,Master,2.3,2021,0,1,118000
renault,Master,2.3,2021,0,1,195000
renault,Master,2.3,2021,0,1,195000
renault,Master,2.3,2021,0,1,195000
renault,Master,2.3,2021,0,1,157900
renault,Master,2.3,2021,0,1,158900
renault,Master,2.3,2021,0,1,152000
renault,Master,2.3,2021,0,1,152000
renault,Master,2.3,2021,0,1,152000
renault,Kangoo,1.6,2018,90333,0,152000
renault,Kangoo,1.6,2018,90333,0,50000
renault,Kangoo,1.6,2018,90333,0,50000
renault,Kangoo,1.6,2018,99333,0,50000
renault,Kangoo,1.6,2018,99333,0,50000
renault,Master,2.3,2021,0,1,50000
mercedes,Sprinter,2.2,2019,22661,0,159690
mercedes,Sprinter,2.2,2019,22661,0,155000
mercedes,Sprinter,2.2,2019,22661,0,155000
renault,Master,2.3,2022,0,1,155000
renault,Master,2.3,2021,0,1,165000
renault,Master,2.3,2021,0,1,163000
renault,Master,2.3,2021,0,1,163000
renault,Master,2.3,2021,0,1,158000
renault,Master,2.3,2021,0,1,158000
mercedes,Sprinter,2.2,2018,249324,0,158000
citroen,Jumper,2.0,2019,16968,0,152000
citroen,Jumper,2.0,2019,17995,0,159900
mercedes,Sprinter,2.2,2016,346811,0,159900
renault,Master,2.3,2019,25968,0,129000
citroen,Jumper,2.0,2019,16968,0,130000
renault,Master,2.3,2020,16000,0,159900
renault,Master,2.3,2021,0,1,133000
fiat,Fiorino,1.4,2021,0,1,153000
renault,Master,2.3,2019,75160,0,105000
renault,Master,2.3,2021,0,1,164000
renault,Master,2.3,2021,0,1,161000
renault,Master,2.3,2021,0,1,158000
renault,Master,2.3,2021,0,1,158000
renault,Master,2.3,2021,0,1,163000
renault,Master,2.3,2021,0,1,163000
renault,Master,2.3,2021,0,1,163000
fiat,Ducato,2.3,2016,111000,0,179900
peugeot,Boxer,2.8,2004,450000,0,109920
peugeot,Boxer,2.3,2014,139000,0,39500
peugeot,Boxer,2.3,2015,60000,0,83900
fiat,Ducato,2.3,2014,258000,0,112000
peugeot,Boxer,2.3,2010,250,0,79920
peugeot,Boxer,2.3,2011,141000,0,55900
citroen,Jumper,2.3,2014,13260,0,62000
renault,Master,2.3,2017,56412,0,110000
volkswagem,Kombi,1.4,2012,81367,0,128200
mercedes,Sprinter,2.2,2006,260000,0,69900
peugeot,Boxer,,2016,116000,0,48000
mercedes,Sprinter,,2019,0,1,79900
renault,Master,2.3,2021,0,1,199900
volkswagem,Kombi,1.4,2014,67000,0,195900
renault,Master,2.3,2015,220440,0,55900
mercedes,Sprinter,2.2,2020,0,1,125000
fiat,Ducato,2.3,2013,219900,0,242000
fiat,Ducato,2.3,2013,200000,0,78000
mercedes,Sprinter,2.2,2020,0,1,79900
renault,Master,2.3,2018,31,0,197999
renault,Master,2.3,2016,220000,0,240000
mercedes,Sprinter,2.2,2019,0,1,79900
fiat,Ducato,2.3,2014,121000,0,189004
mercedes,Sprinter,2.2,2017,205000,0,79200
peugeot,Boxer,2.3,2013,200000,0,130000
mercedes,Sprinter,2.2,2014,152000,0,63900
peugeot,Boxer,2.3,2015,60000,0,110000
peugeot,Boxer,2.3,2011,178000,0,112000
mercedes,Sprinter,2.2,2013,203000,0,56500
volkswagem,Kombi,1.4,2012,182000,0,113900
mercedes,Sprinter,2.2,2015,100000,0,35900
peugeot,Boxer,2.3,2012,258000,0,90990
mercedes,Sprinter,2.2,2018,85250,0,50000
chevrolet,Montana,,2015,115000,0,180000
citroen,Jumper,2.8,2006,1,0,39900
volkswagem,Kombi,1.4,2013,92000,0,42900
renault,Master,2.3,2015,108946,0,39990
mercedes,Sprinter,,2020,0,1,92000
fiat,Ducato,2.3,2018,0,1,159900
renault,Master,,2020,0,1,194900
fiat,Ducato,,2019,0,1,114800
fiat,Ducato,2.3,2019,0,1,161900
mercedes,Sprinter,2.2,2019,0,1,197900
fiat,Ducato,2.3,2019,0,1,193900
renault,Master,,2020,0,1,194900
mercedes,Sprinter,,2021,0,1,171900
renault,Master,2.5,2010,280000,0,229900
honda,Fit,1.4,2014,64328,0,164000
citroen,Aircross,1.6,2014,60,0,49900
fiat,Idea,1.4,2012,143,0,38000
honda,Fit,1.5,2006,240000,0,25900
fiat,Idea,1.4,2014,100000,0,27890
mercedes,Classe,,2015,32000,0,30900
chevrolet,Spin,1.8,2018,77200,0,189900
peugeot,2008,1.6,2018,23000,0,51990
fiat,Idea,1.6,2016,52013,0,53000
mercedes,Classe,1.6,2014,125000,0,39900
citroen,Aircross,1.6,2015,77000,0,78000
chrysler,Pt,2.4,2010,106316,0,38900
honda,Fit,1.4,2013,107000,0,32890
chevrolet,Spin,1.8,2021,0,1,39500
citroen,Aircross,1.6,2013,150000,0,96890
fiat,Idea,1.8,2013,77000,0,30990
chevrolet,Meriva,1.8,2012,120000,0,38990
chevrolet,Spin,1.8,2013,99219,0,23900
fiat,Idea,1.4,2012,134000,0,45000
honda,Fit,1.5,2007,130000,0,23900
chevrolet,Spin,1.8,2015,111250,0,26900
fiat,Idea,1.4,2006,150,0,42990
peugeot,2008,1.6,2017,45000,0,19900
mercedes,Classe,2.0,2007,85000,0,54890
honda,Fit,,2021,0,1,38000
chevrolet,Spin,1.8,2018,12154,0,85000
chevrolet,Spin,1.8,2013,145000,0,57000
chevrolet,Spin,1.8,2016,72000,0,36900
citroen,C3,1.6,2015,45000,0,45900
honda,Fit,1.5,2017,52000,0,32990
chevrolet,Spin,1.8,2019,48400,0,69000
peugeot,2008,1.6,2017,50000,0,63500
citroen,Aircross,1.6,2013,105000,0,60990
chevrolet,Meriva,1.8,2009,180,0,34990
hyundai,Hb20x,,2021,0,1,22000
chevrolet,Meriva,1.8,2011,103000,0,515000
fiat,Idea,1.4,2007,94000,0,24900
mercedes,Classe,1.6,2013,53000,0,20900
chevrolet,Spin,1.8,2019,700,0,63900
honda,Fit,1.4,2009,97000,0,60000
chevrolet,Spin,1.8,2015,120000,0,29900
citroen,C3,1.5,2013,80000,0,42900
honda,Fit,1.5,2017,32000,0,28990
chevrolet,Spin,1.8,2015,50000,0,60000
chevrolet,Meriva,1.8,2006,211000,0,49990
citroen,Aircross,1.6,2013,76000,0,16500
chevrolet,Meriva,1.8,2005,186000,0,29900
volkswagem,Parati,1.6,1995,96000,0,179900
nissan,Grand,1.8,2014,95585,0,11500
nissan,Livina,1.6,2011,105000,0,30900
chevrolet,Zafira,2.0,2005,142173,0,26900
fiat,Doblo,1.8,2009,179800,0,23900
dodge,Journey,3.6,2012,70000,0,27900
hyundai,H1,2.6,2001,200000,0,49800
fiat,Doblo,1.8,2010,386000,0,29000
citroen,Xsara,2.0,2005,172975,0,28000
Mitsubishi,Grandis,2.4,2007,150000,0,13800
chevrolet,Ipanema,2.0,1995,298,0,21000
fiat,Ducato,2.3,2015,150000,0,16100
chrysler,Town,3.8,2014,91262,0,91900
nissan,Livina,1.8,2014,80000,0,114900
chevrolet,Meriva,1.8,2004,150000,0,34900
nissan,Livina,1.8,2013,96500,0,17900
fiat,Doblo,1.8,2011,88502,0,27000
jac,J6,2.0,2012,100000,0,35990
fiat,Doblo,1.8,2020,1,0,25990
hyundai,Ix35,2.0,2018,80000,0,63046
fiat,Palio,1.8,2013,78000,0,88000
nissan,Livina,1.8,2014,69000,0,33900
chevrolet,Zafira,2.0,2011,140000,0,32800
citroen,C4,2.0,2009,1,0,34890
fiat,Doblo,1.8,2013,81000,0,25500
fiat,Doblo,1.8,2008,138000,0,52900
hyundai,H1,2.5,2001,260000,0,24900
nissan,Livina,1.8,2010,1,0,34900
fiat,Idea,1.8,2011,90000,0,23900
nissan,Grand,1.8,2014,69700,0,31900
fiat,Doblo,1.8,2018,38000,0,43900
fiat,Doblo,1.8,2018,38000,0,63990
fiat,Doblo,1.8,2013,164000,0,63970
