marca,modelo,motor,ano,quilometragem,novo,preco
land rover,Rover,3.2,2010,142000,0,314900
jeep,Grand,5.9,1997,250000,0,35000
honda,Hr-v,1.8,2019,24000,0,26100
volkswagem,Tiguan,2.0,2011,110000,0,96870
renault,Duster,1.6,2017,54819,0,49000
Mitsubishi,Pajero,2.0,2003,242000,0,52900
jeep,Compass,2.0,2017,44000,0,28990
Mitsubishi,Outlander,3.0,2012,119000,0,84999
renault,Duster,1.6,2018,85000,0,47900
kia,Sorento,2.4,2011,138000,0,56900
ford,Ecosport,2.0,2008,171000,0,47990
renault,Master,2.3,2021,0,1,203000
mercedes,Sprinter,2.2,2021,0,1,136900
mercedes,Sprinter,2.2,2021,0,1,179900
volkswagem,Amarok,2.0,2013,125000,0,195900
volkswagem,Amarok,2.0,2016,92000,0,92900
toyota,Hilux,2.7,2015,82000,0,126900
volkswagem,Amarok,2.0,2019,67000,0,85899
volkswagem,Saveiro,1.6,2020,45000,0,127900
ford,Ranger,4.0,1997,122140,0,52500
ford,Ranger,2.5,2013,185000,0,49900
fiat,Strada,1.3,2021,0,1,58900
fiat,Strada,1.4,2021,0,1,86981
chevrolet,S10,2.8,2019,65000,0,64990
nissan,Frontier,2.5,2008,245000,0,121900
fiat,Strada,1.3,2021,0,1,63900
ford,Ranger,2.2,2020,50000,0,77990
volkswagem,Amarok,3.0,2020,0,1,135900
volkswagem,Saveiro,1.6,2014,122000,0,264999
nissan,Frontier,,2021,0,1,38400
fiat,Toro,2.0,2020,0,1,182778
nissan,Frontier,2.3,2020,0,1,142000
Mitsubishi,L200,2.5,2004,168000,0,177900
chevrolet,Montana,1.4,2020,0,1,48900
chevrolet,Montana,1.4,2013,167000,0,62500
fiat,Toro,2.0,2019,48728,0,29990
ford,Ranger,3.2,2015,100000,0,119900
nissan,Frontier,2.5,2012,183000,0,100000
fiat,Strada,1.8,2016,55000,0,74900
ford,Ranger,3.2,2013,244000,0,59900
mercedes,Sprinter,2.2,2021,0,1,95000
fiat,Strada,1.4,2018,45000,0,162900
fiat,Toro,2.0,2021,0,1,39900
volkswagem,Saveiro,1.6,2020,31000,0,149698
fiat,Toro,,2020,0,1,57980
fiat,Toro,1.8,2021,0,1,151366
chevrolet,Trailblazer,3.6,2014,100000,0,107626
fiat,Toro,2.0,2021,0,1,79800
chevrolet,S10,2.8,2020,0,1,132601
ford,F-250,4.2,2000,290000,0,219990
volkswagem,Saveiro,1.6,2013,104302,0,62900
chevrolet,S10,2.8,2019,57137,0,28500
chevrolet,Montana,1.4,2019,70200,0,165000
volkswagem,Amarok,2.0,2020,17000,0,38910
ford,Ranger,2.3,2009,140000,0,185900
fiat,Strada,1.4,2012,260253,0,39890
dodge,Ram,5.9,2006,240000,0,26990
toyota,Hilux,2.7,2013,92000,0,90000
volkswagem,Saveiro,1.8,2001,173000,0,80990
mercedes,Sprinter,2.2,2020,0,1,95990
renault,Master,2.3,2021,0,1,172900
renault,Master,,2021,0,1,149900
fiat,Ducato,2.3,2021,0,1,166900
renault,Master,2.3,2021,0,1,159900
fiat,Ducato,,2021,0,1,159900
fiat,Ducato,,2021,0,1,154900
peugeot,Expert,,2021,0,1,139900
renault,Master,2.3,2021,0,1,136900
citroen,Jumpy,,2021,0,1,151900
fiat,Ducato,,2020,0,1,129900
renault,Master,2.3,2019,0,1,134900
fiat,Ducato,2.3,2020,0,1,135900
fiat,Ducato,2.3,2021,0,1,159900
mercedes,Sprinter,2.2,2021,0,1,166900
renault,Master,2.3,2021,0,1,203900
renault,Master,2.3,2021,0,1,145900
mercedes,Sprinter,2.2,2021,0,1,145900
fiat,Ducato,,2021,0,1,185900
renault,Master,2.3,2021,0,1,154900
fiat,Ducato,,2019,0,1,151900
fiat,Ducato,2.3,2021,0,1,153900
renault,Master,2.3,2021,0,1,147900
fiat,Ducato,2.3,2019,0,1,194900
mercedes,Sprinter,2.2,2021,0,1,179900
fiat,Ducato,2.3,2020,0,1,165900
renault,Master,2.3,2021,0,1,157900
peugeot,Expert,,2020,0,1,157900
citroen,Jumpy,,2021,0,1,139900
renault,Master,2.3,2021,0,1,129900
renault,Master,2.3,2021,0,1,189900
fiat,Ducato,2.3,2021,0,1,151900
renault,Master,2.3,2021,0,1,159900
renault,Master,2.3,2021,0,1,159900
renault,Master,2.3,2021,0,1,194900
fiat,Ducato,,2020,0,1,159900
renault,Master,2.3,2021,0,1,134900
fiat,Ducato,2.3,2021,0,1,179900
renault,Master,2.3,2021,0,1,159900
renault,Master,2.3,2021,0,1,145900
renault,Master,2.3,2021,10,0,134900
peugeot,Expert,,2021,0,1,166900
renault,Master,2.3,2021,0,1,136900
renault,Master,2.3,2021,0,1,194900
fiat,Ducato,2.3,2015,132416,0,145900
mercedes,Sprinter,2.2,2021,0,1,116900
peugeot,Expert,,2020,0,1,185900
peugeot,Expert,,2020,0,1,139900
mercedes,Sprinter,,2020,0,1,299990
mercedes,Sprinter,2.2,2019,0,1,184900
renault,Master,2.3,2021,0,1,199900
fiat,Ducato,2.3,2019,0,1,210900
peugeot,Boxer,2.8,2004,250855,0,194900
mercedes,Sprinter,,2019,0,1,43900
renault,Master,2.5,2010,280000,0,173900
fiat,Ducato,2.3,2019,0,1,69900
fiat,Ducato,2.3,2012,1,0,194900
fiat,Ducato,2.3,2019,0,1,87900
fiat,Ducato,2.3,2014,105000,0,194900
renault,Master,2.3,2016,1,0,99900
fiat,Ducato,2.3,2015,132416,0,139900
fiat,Ducato,,2020,0,1,116900
citroen,Jumper,2.3,2014,111360,0,188900
renault,Master,2.3,2020,0,1,84900
mercedes,Sprinter,2.2,2021,0,1,162900
fiat,Ducato,,2014,100,0,193900
citroen,Jumper,2.8,2008,294679,0,95900
fiat,Ducato,2.3,2013,166000,0,59900
peugeot,Boxer,2.3,2013,1,0,94900
fiat,Ducato,,2012,255000,0,96900
citroen,Jumper,2.3,2014,100,0,89900
peugeot,Boxer,2.3,2016,1,0,89900
mercedes,Sprinter,,2020,0,1,94900
fiat,Ducato,2.3,2014,1,0,223900
peugeot,Boxer,2.3,2010,764000,0,107900
fiat,Ducato,,2014,849386,0,64900
fiat,Ducato,,2014,100,0,89900
fiat,Ducato,,2015,122040,0,95900
fiat,Ducato,,2013,205500,0,115900
fiat,Ducato,,2014,100,0,97900
fiat,Ducato,,2014,100,0,95900
kia,Besta,3.0,2001,320000,0,95900
mercedes,Sprinter,2.2,2018,239437,0,22900
mercedes,Sprinter,2.2,2008,503000,0,185000
volkswagem,Kombi,1.4,2009,48000,0,57900
volkswagem,Kombi,1.4,2009,320600,0,50000
renault,Master,2.3,2015,115000,0,25000
volkswagem,Kombi,1.6,1999,89000,0,120000
mercedes,Sprinter,2.2,2020,0,1,29700
mercedes,Sprinter,2.2,2016,381987,0,189900
volkswagem,Kombi,1.4,2006,325000,0,149000
volkswagem,Kombi,1.4,2014,49000,0,16000
mercedes,Sprinter,2.2,2009,507758,0,54900
